,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0166,1.0166,,暂停申购,暂停赎回,009816,2021-04-30
2,1.0159,1.0159,,暂停申购,暂停赎回,009816,2021-04-23
3,1.0152,1.0152,,暂停申购,暂停赎回,009816,2021-04-16
4,1.0144,1.0144,,暂停申购,暂停赎回,009816,2021-04-09
5,1.0137,1.0137,,暂停申购,暂停赎回,009816,2021-04-02
6,1.0130,1.0130,,暂停申购,暂停赎回,009816,2021-03-26
7,1.0123,1.0123,,暂停申购,暂停赎回,009816,2021-03-19
8,1.0115,1.0115,,暂停申购,暂停赎回,009816,2021-03-12
9,1.0107,1.0107,,暂停申购,暂停赎回,009816,2021-03-05
10,1.0100,1.0100,,暂停申购,暂停赎回,009816,2021-02-26
12,1.0093,1.0093,,暂停申购,暂停赎回,009816,2021-02-19
13,1.0084,1.0084,,暂停申购,暂停赎回,009816,2021-02-10
14,1.0080,1.0080,,暂停申购,暂停赎回,009816,2021-02-05
15,1.0074,1.0074,,暂停申购,暂停赎回,009816,2021-01-29
16,1.0069,1.0069,,暂停申购,暂停赎回,009816,2021-01-22
17,1.0062,1.0062,,暂停申购,暂停赎回,009816,2021-01-15
18,1.0055,1.0055,,暂停申购,暂停赎回,009816,2021-01-08
