,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0182,1.0423,0.00%,暂停申购,开放赎回,007201,2021-04-30
2,1.0182,1.0423,0.02%,暂停申购,开放赎回,007201,2021-04-29
3,1.0180,1.0421,0.02%,暂停申购,开放赎回,007201,2021-04-28
4,1.0178,1.0419,0.00%,暂停申购,开放赎回,007201,2021-04-27
5,1.0178,1.0419,0.00%,暂停申购,开放赎回,007201,2021-04-26
6,1.0178,1.0419,0.01%,暂停申购,开放赎回,007201,2021-04-23
7,1.0177,1.0418,0.02%,暂停申购,开放赎回,007201,2021-04-22
8,1.0175,1.0416,0.01%,暂停申购,开放赎回,007201,2021-04-21
9,1.0174,1.0415,0.02%,暂停申购,开放赎回,007201,2021-04-20
10,1.0172,1.0413,0.03%,暂停申购,开放赎回,007201,2021-04-19
12,1.0169,1.0410,0.01%,暂停申购,开放赎回,007201,2021-04-16
13,1.0168,1.0409,0.01%,暂停申购,开放赎回,007201,2021-04-15
14,1.0167,1.0408,0.01%,暂停申购,开放赎回,007201,2021-04-14
15,1.0166,1.0407,0.04%,暂停申购,开放赎回,007201,2021-04-13
16,1.0162,1.0403,0.02%,暂停申购,开放赎回,007201,2021-04-12
17,1.0160,1.0401,0.01%,暂停申购,开放赎回,007201,2021-04-09
18,1.0159,1.0400,0.01%,暂停申购,开放赎回,007201,2021-04-08
19,1.0158,1.0399,0.00%,暂停申购,开放赎回,007201,2021-04-07
20,1.0158,1.0399,0.04%,暂停申购,开放赎回,007201,2021-04-06
21,1.0154,1.0395,0.01%,暂停申购,开放赎回,007201,2021-04-02
23,1.0153,1.0394,0.02%,暂停申购,开放赎回,007201,2021-04-01
24,1.0151,1.0392,0.01%,暂停申购,开放赎回,007201,2021-03-31
25,1.0150,1.0391,0.01%,暂停申购,开放赎回,007201,2021-03-30
26,1.0149,1.0390,0.02%,暂停申购,开放赎回,007201,2021-03-29
27,1.0147,1.0388,-0.01%,暂停申购,开放赎回,007201,2021-03-26
28,1.0148,1.0389,0.02%,暂停申购,开放赎回,007201,2021-03-25
29,1.0146,1.0387,0.03%,暂停申购,开放赎回,007201,2021-03-24
30,1.0143,1.0384,0.02%,暂停申购,开放赎回,007201,2021-03-23
31,1.0141,1.0382,0.03%,暂停申购,开放赎回,007201,2021-03-22
32,1.0138,1.0379,0.01%,暂停申购,开放赎回,007201,2021-03-19
34,1.0137,1.0378,0.01%,暂停申购,开放赎回,007201,2021-03-18
35,1.0136,1.0377,0.03%,暂停申购,开放赎回,007201,2021-03-17
