,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.9377,1.9377,-1.26%,开放申购,开放赎回,011556,2021-04-30
2,1.9625,1.9625,0.03%,开放申购,开放赎回,011556,2021-04-29
3,1.9619,1.9619,0.28%,开放申购,开放赎回,011556,2021-04-28
4,1.9564,1.9564,0.51%,开放申购,开放赎回,011556,2021-04-27
5,1.9465,1.9465,-0.32%,开放申购,开放赎回,011556,2021-04-26
6,1.9527,1.9527,1.28%,开放申购,开放赎回,011556,2021-04-23
7,1.9281,1.9281,0.41%,开放申购,开放赎回,011556,2021-04-22
8,1.9202,1.9202,-1.45%,开放申购,开放赎回,011556,2021-04-21
9,1.9485,1.9485,0.03%,开放申购,开放赎回,011556,2021-04-20
10,1.9480,1.9480,1.94%,开放申购,开放赎回,011556,2021-04-19
12,1.9110,1.9110,1.36%,开放申购,开放赎回,011556,2021-04-16
13,1.8854,1.8854,-0.10%,开放申购,开放赎回,011556,2021-04-15
14,1.8872,1.8872,1.91%,开放申购,开放赎回,011556,2021-04-14
15,1.8518,1.8518,-1.04%,开放申购,开放赎回,011556,2021-04-13
16,1.8712,1.8712,-2.03%,开放申购,开放赎回,011556,2021-04-12
17,1.9099,1.9099,-1.59%,开放申购,开放赎回,011556,2021-04-09
18,1.9408,1.9408,0.49%,开放申购,开放赎回,011556,2021-04-08
19,1.9313,1.9313,-1.04%,开放申购,开放赎回,011556,2021-04-07
20,1.9516,1.9516,-0.44%,开放申购,开放赎回,011556,2021-04-06
21,1.9603,1.9603,0.45%,开放申购,开放赎回,011556,2021-04-02
23,1.9516,1.9516,2.89%,开放申购,开放赎回,011556,2021-04-01
24,1.8968,1.8968,-1.11%,开放申购,开放赎回,011556,2021-03-31
25,1.9181,1.9181,1.11%,开放申购,开放赎回,011556,2021-03-30
26,1.8970,1.8970,-0.43%,开放申购,开放赎回,011556,2021-03-29
27,1.9052,1.9052,2.62%,开放申购,开放赎回,011556,2021-03-26
28,1.8566,1.8566,-0.54%,开放申购,开放赎回,011556,2021-03-25
29,1.8666,1.8666,-2.10%,开放申购,开放赎回,011556,2021-03-24
30,1.9067,1.9067,-3.21%,开放申购,开放赎回,011556,2021-03-23
31,1.9699,1.9699,-0.28%,开放申购,开放赎回,011556,2021-03-22
32,1.9755,1.9755,-1.54%,开放申购,开放赎回,011556,2021-03-19
34,2.0065,2.0065,0.23%,开放申购,开放赎回,011556,2021-03-18
35,2.0019,2.0019,1.07%,开放申购,开放赎回,011556,2021-03-17
36,1.9808,1.9808,2.41%,开放申购,开放赎回,011556,2021-03-16
37,1.9342,1.9342,-0.94%,开放申购,开放赎回,011556,2021-03-15
38,1.9525,1.9525,-1.25%,开放申购,开放赎回,011556,2021-03-12
39,1.9773,1.9773,3.01%,开放申购,开放赎回,011556,2021-03-11
40,1.9195,1.9195,2.40%,开放申购,开放赎回,011556,2021-03-10
41,1.8745,1.8745,0.71%,开放申购,开放赎回,011556,2021-03-09
42,1.8613,1.8613,,开放申购,开放赎回,011556,2021-03-08
