,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.3708,1.3708,0.50%,开放申购,封闭期,007298,2021-04-28
2,1.3640,1.3640,0.43%,开放申购,封闭期,007298,2021-04-27
3,1.3581,1.3581,-0.44%,开放申购,封闭期,007298,2021-04-26
4,1.3641,1.3641,0.42%,开放申购,封闭期,007298,2021-04-23
5,1.3584,1.3584,0.18%,开放申购,封闭期,007298,2021-04-22
6,1.3560,1.3560,0.14%,开放申购,封闭期,007298,2021-04-21
7,1.3541,1.3541,0.23%,开放申购,封闭期,007298,2021-04-20
8,1.3510,1.3510,1.35%,开放申购,封闭期,007298,2021-04-19
9,1.3330,1.3330,0.08%,开放申购,封闭期,007298,2021-04-16
10,1.3320,1.3320,-0.04%,开放申购,封闭期,007298,2021-04-15
12,1.3325,1.3325,0.70%,开放申购,封闭期,007298,2021-04-14
13,1.3233,1.3233,0.07%,开放申购,封闭期,007298,2021-04-13
14,1.3224,1.3224,-1.31%,开放申购,封闭期,007298,2021-04-12
15,1.3400,1.3400,-0.66%,开放申购,封闭期,007298,2021-04-09
16,1.3489,1.3489,0.19%,开放申购,封闭期,007298,2021-04-08
17,1.3463,1.3463,-0.36%,开放申购,封闭期,007298,2021-04-07
18,1.3511,1.3511,0.07%,开放申购,封闭期,007298,2021-04-06
19,1.3501,1.3501,0.31%,开放申购,封闭期,007298,2021-04-02
20,1.3459,1.3459,0.83%,开放申购,封闭期,007298,2021-04-01
21,1.3348,1.3348,-0.37%,开放申购,封闭期,007298,2021-03-31
23,1.3398,1.3398,0.86%,开放申购,封闭期,007298,2021-03-30
24,1.3284,1.3284,0.11%,开放申购,封闭期,007298,2021-03-29
25,1.3269,1.3269,1.57%,开放申购,封闭期,007298,2021-03-26
26,1.3064,1.3064,0.31%,开放申购,封闭期,007298,2021-03-25
27,1.3024,1.3024,-1.55%,开放申购,封闭期,007298,2021-03-24
28,1.3229,1.3229,-1.04%,开放申购,封闭期,007298,2021-03-23
29,1.3368,1.3368,0.69%,开放申购,封闭期,007298,2021-03-22
30,1.3277,1.3277,-1.55%,开放申购,封闭期,007298,2021-03-19
31,1.3486,1.3486,0.75%,开放申购,封闭期,007298,2021-03-18
32,1.3386,1.3386,0.37%,开放申购,封闭期,007298,2021-03-17
34,1.3337,1.3337,0.44%,开放申购,封闭期,007298,2021-03-16
35,1.3278,1.3278,-1.64%,开放申购,封闭期,007298,2021-03-15
36,1.3500,1.3500,-0.02%,开放申购,封闭期,007298,2021-03-12
37,1.3503,1.3503,1.69%,开放申购,封闭期,007298,2021-03-11
38,1.3279,1.3279,0.45%,开放申购,封闭期,007298,2021-03-10
39,1.3219,1.3219,-1.54%,开放申购,封闭期,007298,2021-03-09
40,1.3426,1.3426,-2.60%,开放申购,封闭期,007298,2021-03-08
41,1.3784,1.3784,-0.15%,开放申购,封闭期,007298,2021-03-05
42,1.3805,1.3805,-2.51%,开放申购,封闭期,007298,2021-03-04
43,1.4160,1.4160,0.91%,开放申购,封闭期,007298,2021-03-03
45,1.4032,1.4032,-0.46%,开放申购,封闭期,007298,2021-03-02
46,1.4097,1.4097,1.55%,开放申购,封闭期,007298,2021-03-01
47,1.3882,1.3882,-1.55%,开放申购,封闭期,007298,2021-02-26
48,1.4101,1.4101,0.17%,开放申购,封闭期,007298,2021-02-25
49,1.4077,1.4077,-2.11%,开放申购,封闭期,007298,2021-02-24
50,1.4381,1.4381,-0.44%,开放申购,封闭期,007298,2021-02-23
51,1.4445,1.4445,-1.95%,开放申购,封闭期,007298,2021-02-22
52,1.4732,1.4732,-0.52%,开放申购,封闭期,007298,2021-02-19
53,1.4809,1.4809,-0.54%,开放申购,封闭期,007298,2021-02-18
54,1.4890,1.4890,1.11%,开放申购,封闭期,007298,2021-02-10
56,1.4727,1.4727,1.61%,开放申购,封闭期,007298,2021-02-09
57,1.4494,1.4494,1.02%,开放申购,封闭期,007298,2021-02-08
58,1.4347,1.4347,-0.27%,开放申购,封闭期,007298,2021-02-05
59,1.4386,1.4386,-0.68%,开放申购,封闭期,007298,2021-02-04
60,1.4485,1.4485,-0.34%,开放申购,封闭期,007298,2021-02-03
61,1.4534,1.4534,1.22%,开放申购,封闭期,007298,2021-02-02
62,1.4359,1.4359,1.01%,开放申购,封闭期,007298,2021-02-01
63,1.4216,1.4216,-0.51%,开放申购,封闭期,007298,2021-01-29
64,1.4289,1.4289,-2.20%,开放申购,封闭期,007298,2021-01-28
65,1.4611,1.4611,0.39%,开放申购,封闭期,007298,2021-01-27
67,1.4554,1.4554,-1.43%,开放申购,封闭期,007298,2021-01-26
68,1.4765,1.4765,0.45%,开放申购,封闭期,007298,2021-01-25
69,1.4699,1.4699,0.89%,开放申购,封闭期,007298,2021-01-22
70,1.4570,1.4570,1.23%,开放申购,封闭期,007298,2021-01-21
71,1.4393,1.4393,1.37%,开放申购,封闭期,007298,2021-01-20
72,1.4198,1.4198,-0.85%,开放申购,封闭期,007298,2021-01-19
73,1.4319,1.4319,1.22%,开放申购,封闭期,007298,2021-01-18
74,1.4147,1.4147,-0.07%,开放申购,封闭期,007298,2021-01-15
75,1.4157,1.4157,-0.90%,开放申购,封闭期,007298,2021-01-14
76,1.4285,1.4285,-0.43%,开放申购,封闭期,007298,2021-01-13
78,1.4346,1.4346,1.46%,开放申购,封闭期,007298,2021-01-12
79,1.4140,1.4140,-0.73%,开放申购,封闭期,007298,2021-01-11
80,1.4244,1.4244,-0.54%,开放申购,封闭期,007298,2021-01-08
81,1.4322,1.4322,1.19%,开放申购,封闭期,007298,2021-01-07
82,1.4153,1.4153,0.26%,开放申购,封闭期,007298,2021-01-06
83,1.4116,1.4116,1.06%,开放申购,封闭期,007298,2021-01-05
84,1.3968,1.3968,1.38%,开放申购,封闭期,007298,2021-01-04
