,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,0.8049,0.8049,-0.89%,场内买入,场内卖出,512980,2021-04-30
2,0.8121,0.8121,-0.39%,场内买入,场内卖出,512980,2021-04-29
3,0.8153,0.8153,0.82%,场内买入,场内卖出,512980,2021-04-28
4,0.8087,0.8087,-0.47%,场内买入,场内卖出,512980,2021-04-27
5,0.8125,0.8125,-0.11%,场内买入,场内卖出,512980,2021-04-26
6,0.8134,0.8134,-0.49%,场内买入,场内卖出,512980,2021-04-23
7,0.8174,0.8174,0.74%,场内买入,场内卖出,512980,2021-04-22
8,0.8114,0.8114,-0.42%,场内买入,场内卖出,512980,2021-04-21
9,0.8148,0.8148,0.57%,场内买入,场内卖出,512980,2021-04-20
10,0.8102,0.8102,1.35%,场内买入,场内卖出,512980,2021-04-19
12,0.7994,0.7994,1.36%,场内买入,场内卖出,512980,2021-04-16
13,0.7887,0.7887,-1.15%,场内买入,场内卖出,512980,2021-04-15
14,0.7979,0.7979,1.89%,场内买入,场内卖出,512980,2021-04-14
15,0.7831,0.7831,-0.57%,场内买入,场内卖出,512980,2021-04-13
16,0.7876,0.7876,-2.06%,场内买入,场内卖出,512980,2021-04-12
17,0.8042,0.8042,0.24%,场内买入,场内卖出,512980,2021-04-09
18,0.8023,0.8023,-0.58%,场内买入,场内卖出,512980,2021-04-08
19,0.8070,0.8070,-0.02%,场内买入,场内卖出,512980,2021-04-07
20,0.8072,0.8072,0.91%,场内买入,场内卖出,512980,2021-04-06
21,0.7999,0.7999,0.58%,场内买入,场内卖出,512980,2021-04-02
23,0.7953,0.7953,0.73%,场内买入,场内卖出,512980,2021-04-01
24,0.7895,0.7895,0.08%,场内买入,场内卖出,512980,2021-03-31
25,0.7889,0.7889,-0.60%,场内买入,场内卖出,512980,2021-03-30
26,0.7937,0.7937,-1.57%,场内买入,场内卖出,512980,2021-03-29
27,0.8064,0.8064,0.80%,场内买入,场内卖出,512980,2021-03-26
28,0.8000,0.8000,-0.44%,场内买入,场内卖出,512980,2021-03-25
29,0.8035,0.8035,0.50%,场内买入,场内卖出,512980,2021-03-24
30,0.7995,0.7995,-0.31%,场内买入,场内卖出,512980,2021-03-23
31,0.8020,0.8020,1.24%,场内买入,场内卖出,512980,2021-03-22
32,0.7922,0.7922,-1.96%,场内买入,场内卖出,512980,2021-03-19
34,0.8080,0.8080,-0.15%,场内买入,场内卖出,512980,2021-03-18
35,0.8092,0.8092,0.72%,场内买入,场内卖出,512980,2021-03-17
36,0.8034,0.8034,0.36%,场内买入,场内卖出,512980,2021-03-16
37,0.8005,0.8005,-1.96%,场内买入,场内卖出,512980,2021-03-15
38,0.8165,0.8165,-1.10%,场内买入,场内卖出,512980,2021-03-12
39,0.8256,0.8256,0.90%,场内买入,场内卖出,512980,2021-03-11
40,0.8182,0.8182,-1.60%,场内买入,场内卖出,512980,2021-03-10
41,0.8315,0.8315,-1.54%,场内买入,场内卖出,512980,2021-03-09
42,0.8445,0.8445,-1.47%,场内买入,场内卖出,512980,2021-03-08
43,0.8571,0.8571,1.38%,场内买入,场内卖出,512980,2021-03-05
45,0.8454,0.8454,-1.56%,场内买入,场内卖出,512980,2021-03-04
46,0.8588,0.8588,1.47%,场内买入,场内卖出,512980,2021-03-03
47,0.8464,0.8464,-1.51%,场内买入,场内卖出,512980,2021-03-02
48,0.8594,0.8594,3.22%,场内买入,场内卖出,512980,2021-03-01
49,0.8326,0.8326,-1.67%,场内买入,场内卖出,512980,2021-02-26
50,0.8467,0.8467,-0.72%,场内买入,场内卖出,512980,2021-02-25
51,0.8528,0.8528,0.20%,场内买入,场内卖出,512980,2021-02-24
52,0.8511,0.8511,-1.71%,场内买入,场内卖出,512980,2021-02-23
53,0.8659,0.8659,-1.88%,场内买入,场内卖出,512980,2021-02-22
54,0.8825,0.8825,2.47%,场内买入,场内卖出,512980,2021-02-19
56,0.8612,0.8612,1.35%,场内买入,场内卖出,512980,2021-02-18
57,0.8497,0.8497,0.34%,场内买入,场内卖出,512980,2021-02-10
58,0.8468,0.8468,1.47%,场内买入,场内卖出,512980,2021-02-09
59,0.8345,0.8345,0.69%,场内买入,场内卖出,512980,2021-02-08
60,0.8288,0.8288,-1.31%,场内买入,场内卖出,512980,2021-02-05
