,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,3.1627,3.9247,0.08%,开放申购,开放赎回,519097,2021-04-30
2,3.1602,3.9222,-1.00%,开放申购,开放赎回,519097,2021-04-29
3,3.1922,3.9542,2.26%,开放申购,开放赎回,519097,2021-04-28
4,3.1217,3.8837,-0.96%,开放申购,开放赎回,519097,2021-04-27
5,3.1520,3.9140,-0.72%,开放申购,开放赎回,519097,2021-04-26
6,3.1748,3.9368,-0.81%,开放申购,开放赎回,519097,2021-04-23
7,3.2008,3.9628,0.74%,开放申购,开放赎回,519097,2021-04-22
8,3.1774,3.9394,1.17%,开放申购,开放赎回,519097,2021-04-21
9,3.1406,3.9026,0.04%,开放申购,开放赎回,519097,2021-04-20
10,3.1394,3.9014,3.41%,开放申购,开放赎回,519097,2021-04-19
12,3.0358,3.7978,1.94%,开放申购,开放赎回,519097,2021-04-16
13,2.9781,3.7401,0.07%,开放申购,开放赎回,519097,2021-04-15
14,2.9761,3.7381,1.65%,开放申购,开放赎回,519097,2021-04-14
15,2.9277,3.6897,-0.09%,开放申购,开放赎回,519097,2021-04-13
16,2.9304,3.6924,-0.81%,开放申购,开放赎回,519097,2021-04-12
17,2.9544,3.7164,-1.06%,开放申购,开放赎回,519097,2021-04-09
18,2.9862,3.7482,0.39%,开放申购,开放赎回,519097,2021-04-08
19,2.9746,3.7366,-0.66%,开放申购,开放赎回,519097,2021-04-07
20,2.9945,3.7565,0.02%,开放申购,开放赎回,519097,2021-04-06
21,2.9939,3.7559,2.76%,开放申购,开放赎回,519097,2021-04-02
23,2.9136,3.6756,1.34%,开放申购,开放赎回,519097,2021-04-01
24,2.8750,3.6370,-0.51%,开放申购,开放赎回,519097,2021-03-31
25,2.8896,3.6516,0.40%,开放申购,开放赎回,519097,2021-03-30
26,2.8782,3.6402,0.78%,开放申购,开放赎回,519097,2021-03-29
27,2.8559,3.6179,2.26%,开放申购,开放赎回,519097,2021-03-26
28,2.7927,3.5547,-0.21%,开放申购,开放赎回,519097,2021-03-25
29,2.7986,3.5606,-2.54%,开放申购,开放赎回,519097,2021-03-24
30,2.8716,3.6336,-2.73%,开放申购,开放赎回,519097,2021-03-23
31,2.9523,3.7143,1.97%,开放申购,开放赎回,519097,2021-03-22
32,2.8953,3.6573,-1.66%,开放申购,开放赎回,519097,2021-03-19
34,2.9443,3.7063,1.46%,开放申购,开放赎回,519097,2021-03-18
35,2.9019,3.6639,-0.11%,开放申购,开放赎回,519097,2021-03-17
36,2.9051,3.6671,-0.21%,开放申购,开放赎回,519097,2021-03-16
37,2.9111,3.6731,-0.36%,开放申购,开放赎回,519097,2021-03-15
38,2.9215,3.6835,0.68%,开放申购,开放赎回,519097,2021-03-12
39,2.9017,3.6637,4.11%,开放申购,开放赎回,519097,2021-03-11
40,2.7871,3.5491,0.68%,开放申购,开放赎回,519097,2021-03-10
41,2.7683,3.5303,-2.34%,开放申购,开放赎回,519097,2021-03-09
42,2.8347,3.5967,-2.09%,开放申购,开放赎回,519097,2021-03-08
43,2.8953,3.6573,-1.44%,开放申购,开放赎回,519097,2021-03-05
45,2.9377,3.6997,-2.82%,开放申购,开放赎回,519097,2021-03-04
46,3.0231,3.7851,1.94%,开放申购,开放赎回,519097,2021-03-03
47,2.9656,3.7276,-1.24%,开放申购,开放赎回,519097,2021-03-02
48,3.0029,3.7649,1.79%,开放申购,开放赎回,519097,2021-03-01
49,2.9502,3.7122,-3.63%,开放申购,开放赎回,519097,2021-02-26
50,3.0612,3.8232,-1.17%,开放申购,开放赎回,519097,2021-02-25
51,3.0974,3.8594,-2.69%,开放申购,开放赎回,519097,2021-02-24
52,3.1831,3.9451,-1.00%,开放申购,开放赎回,519097,2021-02-23
53,3.2151,3.9771,-1.78%,开放申购,开放赎回,519097,2021-02-22
54,3.2735,4.0355,-0.73%,开放申购,开放赎回,519097,2021-02-19
56,3.2975,4.0595,1.54%,开放申购,开放赎回,519097,2021-02-18
57,3.2476,4.0096,1.10%,开放申购,开放赎回,519097,2021-02-10
58,3.2122,3.9742,2.28%,开放申购,开放赎回,519097,2021-02-09
59,3.1407,3.9027,2.26%,开放申购,开放赎回,519097,2021-02-08
60,3.0714,3.8334,-2.52%,开放申购,开放赎回,519097,2021-02-05
61,3.1508,3.9128,-1.25%,开放申购,开放赎回,519097,2021-02-04
62,3.1906,3.9526,-1.51%,开放申购,开放赎回,519097,2021-02-03
63,3.2395,4.0015,2.97%,开放申购,开放赎回,519097,2021-02-02
64,3.1462,3.9082,1.61%,开放申购,开放赎回,519097,2021-02-01
65,3.0965,3.8585,0.00%,开放申购,开放赎回,519097,2021-01-29
67,3.0966,3.8586,-3.82%,开放申购,开放赎回,519097,2021-01-28
68,3.2197,3.9817,-0.53%,开放申购,开放赎回,519097,2021-01-27
69,3.2367,3.9987,-1.90%,开放申购,开放赎回,519097,2021-01-26
70,3.2995,4.0615,0.77%,开放申购,开放赎回,519097,2021-01-25
71,3.2744,4.0364,-0.12%,开放申购,开放赎回,519097,2021-01-22
72,3.2784,4.0404,1.24%,开放申购,开放赎回,519097,2021-01-21
73,3.2384,4.0004,1.66%,开放申购,开放赎回,519097,2021-01-20
74,3.1854,3.9474,-1.30%,开放申购,开放赎回,519097,2021-01-19
