,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0642,1.0642,-0.87%,开放申购,开放赎回,009940,2021-04-30
2,1.0735,1.0735,1.19%,开放申购,开放赎回,009940,2021-04-29
3,1.0609,1.0609,-0.08%,开放申购,开放赎回,009940,2021-04-28
4,1.0617,1.0617,0.70%,开放申购,开放赎回,009940,2021-04-27
5,1.0543,1.0543,-1.47%,开放申购,开放赎回,009940,2021-04-26
6,1.0700,1.0700,1.23%,开放申购,开放赎回,009940,2021-04-23
7,1.0570,1.0570,0.03%,开放申购,开放赎回,009940,2021-04-22
8,1.0567,1.0567,0.30%,开放申购,开放赎回,009940,2021-04-21
9,1.0535,1.0535,0.13%,开放申购,开放赎回,009940,2021-04-20
10,1.0521,1.0521,1.74%,开放申购,开放赎回,009940,2021-04-19
12,1.0341,1.0341,0.52%,开放申购,开放赎回,009940,2021-04-16
13,1.0288,1.0288,-0.54%,开放申购,开放赎回,009940,2021-04-15
14,1.0344,1.0344,0.98%,开放申购,开放赎回,009940,2021-04-14
15,1.0244,1.0244,0.36%,开放申购,开放赎回,009940,2021-04-13
16,1.0207,1.0207,-1.64%,开放申购,开放赎回,009940,2021-04-12
17,1.0377,1.0377,-1.52%,开放申购,开放赎回,009940,2021-04-09
18,1.0537,1.0537,0.77%,开放申购,开放赎回,009940,2021-04-08
19,1.0457,1.0457,-1.30%,开放申购,开放赎回,009940,2021-04-07
20,1.0595,1.0595,-1.09%,开放申购,开放赎回,009940,2021-04-06
21,1.0712,1.0712,1.55%,开放申购,开放赎回,009940,2021-04-02
23,1.0548,1.0548,1.47%,开放申购,开放赎回,009940,2021-04-01
24,1.0395,1.0395,-1.35%,开放申购,开放赎回,009940,2021-03-31
25,1.0537,1.0537,0.92%,开放申购,开放赎回,009940,2021-03-30
26,1.0441,1.0441,0.55%,开放申购,开放赎回,009940,2021-03-29
27,1.0384,1.0384,2.41%,开放申购,开放赎回,009940,2021-03-26
28,1.0140,1.0140,-0.12%,开放申购,开放赎回,009940,2021-03-25
29,1.0152,1.0152,-1.28%,开放申购,开放赎回,009940,2021-03-24
30,1.0284,1.0284,-0.68%,开放申购,开放赎回,009940,2021-03-23
31,1.0354,1.0354,-0.23%,开放申购,开放赎回,009940,2021-03-22
32,1.0378,1.0378,-2.65%,开放申购,开放赎回,009940,2021-03-19
34,1.0660,1.0660,1.36%,开放申购,开放赎回,009940,2021-03-18
35,1.0517,1.0517,0.95%,开放申购,开放赎回,009940,2021-03-17
36,1.0418,1.0418,1.75%,开放申购,开放赎回,009940,2021-03-16
37,1.0239,1.0239,-2.47%,开放申购,开放赎回,009940,2021-03-15
38,1.0498,1.0498,0.44%,开放申购,开放赎回,009940,2021-03-12
39,1.0452,1.0452,2.54%,开放申购,开放赎回,009940,2021-03-11
40,1.0193,1.0193,1.45%,开放申购,开放赎回,009940,2021-03-10
41,1.0047,1.0047,-2.10%,开放申购,开放赎回,009940,2021-03-09
42,1.0263,1.0263,-3.36%,开放申购,开放赎回,009940,2021-03-08
43,1.0620,1.0620,-0.80%,开放申购,开放赎回,009940,2021-03-05
45,1.0706,1.0706,-3.27%,开放申购,开放赎回,009940,2021-03-04
46,1.1068,1.1068,1.87%,开放申购,开放赎回,009940,2021-03-03
47,1.0865,1.0865,-1.41%,开放申购,开放赎回,009940,2021-03-02
48,1.1020,1.1020,1.23%,开放申购,开放赎回,009940,2021-03-01
49,1.0886,1.0886,-2.11%,开放申购,开放赎回,009940,2021-02-26
50,1.1121,1.1121,1.19%,开放申购,开放赎回,009940,2021-02-25
51,1.0990,1.0990,-2.25%,开放申购,开放赎回,009940,2021-02-24
52,1.1243,1.1243,-0.28%,开放申购,开放赎回,009940,2021-02-23
53,1.1275,1.1275,-4.31%,开放申购,开放赎回,009940,2021-02-22
54,1.1783,1.1783,0.08%,开放申购,开放赎回,009940,2021-02-19
56,1.1773,1.1773,-1.62%,开放申购,开放赎回,009940,2021-02-18
57,1.1967,1.1967,2.47%,开放申购,开放赎回,009940,2021-02-10
58,1.1678,1.1678,2.24%,开放申购,开放赎回,009940,2021-02-09
59,1.1422,1.1422,1.47%,开放申购,开放赎回,009940,2021-02-08
60,1.1257,1.1257,0.31%,开放申购,开放赎回,009940,2021-02-05
61,1.1222,1.1222,0.82%,开放申购,开放赎回,009940,2021-02-04
62,1.1131,1.1131,-0.63%,开放申购,开放赎回,009940,2021-02-03
63,1.1202,1.1202,1.98%,开放申购,开放赎回,009940,2021-02-02
64,1.0984,1.0984,1.19%,开放申购,开放赎回,009940,2021-02-01
65,1.0855,1.0855,-0.14%,开放申购,开放赎回,009940,2021-01-29
67,1.0870,1.0870,-2.66%,开放申购,开放赎回,009940,2021-01-28
68,1.1167,1.1167,-0.30%,开放申购,开放赎回,009940,2021-01-27
69,1.1201,1.1201,-2.07%,开放申购,开放赎回,009940,2021-01-26
70,1.1438,1.1438,1.89%,开放申购,开放赎回,009940,2021-01-25
71,1.1226,1.1226,0.12%,开放申购,开放赎回,009940,2021-01-22
72,1.1212,1.1212,1.48%,开放申购,开放赎回,009940,2021-01-21
73,1.1049,1.1049,,封闭期,封闭期,009940,2021-01-20
74,1.1115,1.1115,,封闭期,封闭期,009940,2021-01-15
75,1.1278,1.1278,,封闭期,封闭期,009940,2021-01-08
