,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0010,1.0010,0.02%,开放申购,开放赎回,011529,2021-04-30
2,1.0008,1.0008,0.02%,开放申购,开放赎回,011529,2021-04-29
3,1.0006,1.0006,0.02%,开放申购,开放赎回,011529,2021-04-28
4,1.0004,1.0004,0.00%,开放申购,开放赎回,011529,2021-04-27
5,1.0004,1.0004,0.00%,开放申购,开放赎回,011529,2021-04-26
6,1.0004,1.0004,0.01%,开放申购,开放赎回,011529,2021-04-23
7,1.0003,1.0003,0.01%,开放申购,开放赎回,011529,2021-04-22
8,1.0002,1.0002,0.00%,开放申购,开放赎回,011529,2021-04-21
9,1.0002,1.0002,0.00%,开放申购,开放赎回,011529,2021-04-20
10,1.0002,1.0002,0.01%,开放申购,开放赎回,011529,2021-04-19
12,1.0001,1.0001,0.00%,开放申购,开放赎回,011529,2021-04-16
13,1.0001,1.0001,0.00%,开放申购,开放赎回,011529,2021-04-15
14,1.0001,1.0001,0.00%,开放申购,开放赎回,011529,2021-04-14
15,1.0001,1.0001,0.01%,开放申购,开放赎回,011529,2021-04-13
16,1.0000,1.0000,0.00%,开放申购,开放赎回,011529,2021-04-12
17,1.0000,1.0000,0.00%,开放申购,开放赎回,011529,2021-04-09
18,1.0000,1.0000,0.00%,开放申购,开放赎回,011529,2021-04-08
19,1.0000,1.0000,0.00%,开放申购,开放赎回,011529,2021-04-07
20,1.0000,1.0000,,封闭期,封闭期,011529,2021-04-06
