,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.2916,1.2916,0.00%,开放申购,开放赎回,005430,2021-04-30
2,1.2916,1.2916,0.03%,开放申购,开放赎回,005430,2021-04-29
3,1.2912,1.2912,0.39%,开放申购,开放赎回,005430,2021-04-28
4,1.2862,1.2862,0.13%,开放申购,开放赎回,005430,2021-04-27
5,1.2845,1.2845,-0.42%,开放申购,开放赎回,005430,2021-04-26
6,1.2899,1.2899,0.45%,开放申购,开放赎回,005430,2021-04-23
7,1.2841,1.2841,0.09%,开放申购,开放赎回,005430,2021-04-22
8,1.2829,1.2829,0.10%,开放申购,开放赎回,005430,2021-04-21
9,1.2816,1.2816,0.01%,开放申购,开放赎回,005430,2021-04-20
10,1.2815,1.2815,0.89%,开放申购,开放赎回,005430,2021-04-19
12,1.2702,1.2702,0.09%,开放申购,开放赎回,005430,2021-04-16
13,1.2691,1.2691,-0.10%,开放申购,开放赎回,005430,2021-04-15
14,1.2704,1.2704,0.50%,开放申购,开放赎回,005430,2021-04-14
15,1.2641,1.2641,0.13%,开放申购,开放赎回,005430,2021-04-13
16,1.2625,1.2625,-0.72%,开放申购,开放赎回,005430,2021-04-12
17,1.2716,1.2716,-0.48%,开放申购,开放赎回,005430,2021-04-09
18,1.2777,1.2777,0.14%,开放申购,开放赎回,005430,2021-04-08
19,1.2759,1.2759,-0.17%,开放申购,开放赎回,005430,2021-04-07
20,1.2781,1.2781,-0.19%,开放申购,开放赎回,005430,2021-04-06
21,1.2805,1.2805,0.38%,开放申购,开放赎回,005430,2021-04-02
23,1.2756,1.2756,0.46%,开放申购,开放赎回,005430,2021-04-01
24,1.2698,1.2698,-0.20%,开放申购,开放赎回,005430,2021-03-31
25,1.2724,1.2724,0.13%,开放申购,开放赎回,005430,2021-03-30
26,1.2707,1.2707,0.09%,开放申购,开放赎回,005430,2021-03-29
27,1.2695,1.2695,0.62%,开放申购,开放赎回,005430,2021-03-26
28,1.2617,1.2617,0.18%,开放申购,开放赎回,005430,2021-03-25
29,1.2594,1.2594,-0.47%,开放申购,开放赎回,005430,2021-03-24
30,1.2653,1.2653,-0.26%,开放申购,开放赎回,005430,2021-03-23
31,1.2686,1.2686,0.32%,开放申购,开放赎回,005430,2021-03-22
32,1.2646,1.2646,-0.69%,开放申购,开放赎回,005430,2021-03-19
34,1.2734,1.2734,0.42%,开放申购,开放赎回,005430,2021-03-18
35,1.2681,1.2681,0.30%,开放申购,开放赎回,005430,2021-03-17
36,1.2643,1.2643,0.19%,开放申购,开放赎回,005430,2021-03-16
37,1.2619,1.2619,-0.45%,开放申购,开放赎回,005430,2021-03-15
38,1.2676,1.2676,0.01%,开放申购,开放赎回,005430,2021-03-12
39,1.2675,1.2675,0.54%,开放申购,开放赎回,005430,2021-03-11
40,1.2607,1.2607,-0.15%,开放申购,开放赎回,005430,2021-03-10
41,1.2626,1.2626,0.00%,开放申购,开放赎回,005430,2021-03-09
42,1.2626,1.2626,0.01%,开放申购,开放赎回,005430,2021-03-08
43,1.2625,1.2625,0.01%,开放申购,开放赎回,005430,2021-03-05
45,1.2624,1.2624,0.00%,开放申购,开放赎回,005430,2021-03-04
46,1.2624,1.2624,-0.02%,开放申购,开放赎回,005430,2021-03-03
47,1.2626,1.2626,0.02%,开放申购,开放赎回,005430,2021-03-02
48,1.2624,1.2624,0.03%,开放申购,开放赎回,005430,2021-03-01
49,1.2620,1.2620,0.02%,开放申购,开放赎回,005430,2021-02-26
50,1.2618,1.2618,-0.01%,开放申购,开放赎回,005430,2021-02-25
51,1.2619,1.2619,-0.02%,开放申购,开放赎回,005430,2021-02-24
52,1.2621,1.2621,0.28%,开放申购,开放赎回,005430,2021-02-23
53,1.2586,1.2586,0.78%,开放申购,开放赎回,005430,2021-02-22
54,1.2489,1.2489,1.17%,开放申购,开放赎回,005430,2021-02-19
56,1.2345,1.2345,0.01%,开放申购,开放赎回,005430,2021-02-18
57,1.2344,1.2344,0.02%,开放申购,开放赎回,005430,2021-02-10
58,1.2342,1.2342,0.00%,开放申购,开放赎回,005430,2021-02-09
59,1.2342,1.2342,0.00%,开放申购,开放赎回,005430,2021-02-08
60,1.2342,1.2342,0.04%,开放申购,开放赎回,005430,2021-02-05
61,1.2337,1.2337,-0.12%,开放申购,开放赎回,005430,2021-02-04
62,1.2352,1.2352,0.00%,开放申购,开放赎回,005430,2021-02-03
63,1.2352,1.2352,0.51%,开放申购,开放赎回,005430,2021-02-02
64,1.2289,1.2289,0.49%,开放申购,开放赎回,005430,2021-02-01
65,1.2229,1.2229,-0.24%,开放申购,开放赎回,005430,2021-01-29
67,1.2258,1.2258,-1.21%,开放申购,开放赎回,005430,2021-01-28
68,1.2408,1.2408,0.06%,开放申购,开放赎回,005430,2021-01-27
69,1.2400,1.2400,-0.97%,开放申购,开放赎回,005430,2021-01-26
70,1.2522,1.2522,0.41%,开放申购,开放赎回,005430,2021-01-25
71,1.2471,1.2471,0.59%,开放申购,开放赎回,005430,2021-01-22
72,1.2398,1.2398,0.75%,开放申购,开放赎回,005430,2021-01-21
73,1.2306,1.2306,0.67%,开放申购,开放赎回,005430,2021-01-20
74,1.2224,1.2224,-0.88%,开放申购,开放赎回,005430,2021-01-19
75,1.2333,1.2333,0.34%,开放申购,开放赎回,005430,2021-01-18
76,1.2291,1.2291,-0.19%,开放申购,开放赎回,005430,2021-01-15
78,1.2314,1.2314,-0.93%,开放申购,开放赎回,005430,2021-01-14
79,1.2430,1.2430,-0.37%,开放申购,开放赎回,005430,2021-01-13
80,1.2476,1.2476,1.01%,开放申购,开放赎回,005430,2021-01-12
81,1.2351,1.2351,-0.36%,开放申购,开放赎回,005430,2021-01-11
82,1.2396,1.2396,-0.45%,开放申购,开放赎回,005430,2021-01-08
83,1.2452,1.2452,0.93%,开放申购,开放赎回,005430,2021-01-07
84,1.2337,1.2337,0.36%,开放申购,开放赎回,005430,2021-01-06
85,1.2293,1.2293,0.65%,开放申购,开放赎回,005430,2021-01-05
86,1.2214,1.2214,0.63%,开放申购,开放赎回,005430,2021-01-04
