,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,0.9984,0.9984,0.11%,开放申购,开放赎回,008897,2021-04-30
2,0.9973,0.9973,0.15%,开放申购,开放赎回,008897,2021-04-29
3,0.9958,0.9958,0.11%,开放申购,开放赎回,008897,2021-04-28
4,0.9947,0.9947,-0.11%,开放申购,开放赎回,008897,2021-04-27
5,0.9958,0.9958,-0.15%,开放申购,开放赎回,008897,2021-04-26
6,0.9973,0.9973,-0.14%,开放申购,开放赎回,008897,2021-04-23
7,0.9987,0.9987,0.01%,开放申购,开放赎回,008897,2021-04-22
8,0.9986,0.9986,-0.07%,开放申购,开放赎回,008897,2021-04-21
9,0.9993,0.9993,0.06%,开放申购,开放赎回,008897,2021-04-20
10,0.9987,0.9987,0.22%,开放申购,开放赎回,008897,2021-04-19
12,0.9965,0.9965,0.34%,开放申购,开放赎回,008897,2021-04-16
13,0.9931,0.9931,0.02%,开放申购,开放赎回,008897,2021-04-15
14,0.9929,0.9929,0.05%,开放申购,开放赎回,008897,2021-04-14
15,0.9924,0.9924,-0.15%,开放申购,开放赎回,008897,2021-04-13
16,0.9939,0.9939,-0.15%,开放申购,开放赎回,008897,2021-04-12
17,0.9954,0.9954,0.01%,开放申购,开放赎回,008897,2021-04-09
18,0.9953,0.9953,0.06%,开放申购,开放赎回,008897,2021-04-08
19,0.9947,0.9947,0.12%,开放申购,开放赎回,008897,2021-04-07
20,0.9935,0.9935,0.06%,开放申购,开放赎回,008897,2021-04-06
21,0.9929,0.9929,0.03%,开放申购,开放赎回,008897,2021-04-02
23,0.9926,0.9926,0.14%,开放申购,开放赎回,008897,2021-04-01
24,0.9912,0.9912,0.16%,开放申购,开放赎回,008897,2021-03-31
25,0.9896,0.9896,0.05%,开放申购,开放赎回,008897,2021-03-30
26,0.9891,0.9891,0.25%,开放申购,开放赎回,008897,2021-03-29
27,0.9866,0.9866,0.22%,开放申购,开放赎回,008897,2021-03-26
28,0.9844,0.9844,-0.42%,开放申购,开放赎回,008897,2021-03-25
29,0.9886,0.9886,-0.39%,开放申购,开放赎回,008897,2021-03-24
30,0.9925,0.9925,-0.17%,开放申购,开放赎回,008897,2021-03-23
31,0.9942,0.9942,0.61%,开放申购,开放赎回,008897,2021-03-22
32,0.9882,0.9882,-0.06%,开放申购,开放赎回,008897,2021-03-19
34,0.9888,0.9888,0.15%,开放申购,开放赎回,008897,2021-03-18
35,0.9873,0.9873,-0.12%,开放申购,开放赎回,008897,2021-03-17
36,0.9885,0.9885,0.27%,开放申购,开放赎回,008897,2021-03-16
37,0.9858,0.9858,0.27%,开放申购,开放赎回,008897,2021-03-15
38,0.9831,0.9831,0.59%,开放申购,开放赎回,008897,2021-03-12
39,0.9773,0.9773,0.38%,开放申购,开放赎回,008897,2021-03-11
40,0.9736,0.9736,-0.17%,开放申购,开放赎回,008897,2021-03-10
41,0.9753,0.9753,-0.41%,开放申购,开放赎回,008897,2021-03-09
42,0.9793,0.9793,0.08%,开放申购,开放赎回,008897,2021-03-08
43,0.9785,0.9785,0.24%,开放申购,开放赎回,008897,2021-03-05
45,0.9762,0.9762,-0.26%,开放申购,开放赎回,008897,2021-03-04
46,0.9787,0.9787,0.48%,开放申购,开放赎回,008897,2021-03-03
47,0.9740,0.9740,-0.16%,开放申购,开放赎回,008897,2021-03-02
48,0.9756,0.9756,0.34%,开放申购,开放赎回,008897,2021-03-01
49,0.9723,0.9723,-0.07%,开放申购,开放赎回,008897,2021-02-26
50,0.9730,0.9730,0.01%,开放申购,开放赎回,008897,2021-02-25
51,0.9729,0.9729,-0.37%,开放申购,开放赎回,008897,2021-02-24
52,0.9765,0.9765,-0.34%,开放申购,开放赎回,008897,2021-02-23
53,0.9798,0.9798,0.54%,开放申购,开放赎回,008897,2021-02-22
54,0.9745,0.9745,1.11%,开放申购,开放赎回,008897,2021-02-19
56,0.9638,0.9638,0.45%,开放申购,开放赎回,008897,2021-02-18
57,0.9595,0.9595,0.57%,开放申购,开放赎回,008897,2021-02-10
58,0.9541,0.9541,0.80%,开放申购,开放赎回,008897,2021-02-09
59,0.9465,0.9465,0.08%,开放申购,开放赎回,008897,2021-02-08
60,0.9457,0.9457,-0.20%,开放申购,开放赎回,008897,2021-02-05
61,0.9476,0.9476,-0.91%,开放申购,开放赎回,008897,2021-02-04
62,0.9563,0.9563,-0.40%,开放申购,开放赎回,008897,2021-02-03
63,0.9601,0.9601,-0.18%,开放申购,开放赎回,008897,2021-02-02
64,0.9618,0.9618,-0.36%,开放申购,开放赎回,008897,2021-02-01
65,0.9653,0.9653,-0.84%,开放申购,开放赎回,008897,2021-01-29
67,0.9735,0.9735,-0.53%,开放申购,开放赎回,008897,2021-01-28
68,0.9787,0.9787,0.03%,开放申购,开放赎回,008897,2021-01-27
69,0.9784,0.9784,-0.62%,开放申购,开放赎回,008897,2021-01-26
70,0.9845,0.9845,-0.51%,开放申购,开放赎回,008897,2021-01-25
71,0.9895,0.9895,-0.43%,开放申购,开放赎回,008897,2021-01-22
72,0.9938,0.9938,0.08%,开放申购,开放赎回,008897,2021-01-21
73,0.9930,0.9930,0.11%,开放申购,开放赎回,008897,2021-01-20
74,0.9919,0.9919,-0.05%,开放申购,开放赎回,008897,2021-01-19
75,0.9924,0.9924,0.20%,开放申购,开放赎回,008897,2021-01-18
76,0.9904,0.9904,0.26%,开放申购,开放赎回,008897,2021-01-15
78,0.9878,0.9878,0.46%,开放申购,开放赎回,008897,2021-01-14
79,0.9833,0.9833,-0.34%,开放申购,开放赎回,008897,2021-01-13
80,0.9867,0.9867,-0.03%,开放申购,开放赎回,008897,2021-01-12
81,0.9870,0.9870,-0.34%,开放申购,开放赎回,008897,2021-01-11
82,0.9904,0.9904,-0.02%,开放申购,开放赎回,008897,2021-01-08
83,0.9906,0.9906,-0.61%,开放申购,开放赎回,008897,2021-01-07
84,0.9967,0.9967,-0.04%,开放申购,开放赎回,008897,2021-01-06
85,0.9971,0.9971,-0.03%,开放申购,开放赎回,008897,2021-01-05
86,0.9974,0.9974,0.00%,开放申购,开放赎回,008897,2021-01-04
