,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,2.5570,2.5570,2.04%,暂停申购,暂停赎回,005304,2021-04-30
2,2.5060,2.5060,-0.25%,暂停申购,暂停赎回,005304,2021-04-29
3,2.5123,2.5123,2.01%,开放申购,开放赎回,005304,2021-04-28
4,2.4629,2.4629,2.36%,开放申购,开放赎回,005304,2021-04-27
5,2.4062,2.4062,-1.72%,开放申购,开放赎回,005304,2021-04-26
6,2.4484,2.4484,1.58%,开放申购,开放赎回,005304,2021-04-23
7,2.4102,2.4102,-0.18%,开放申购,开放赎回,005304,2021-04-22
8,2.4146,2.4146,1.39%,开放申购,开放赎回,005304,2021-04-21
9,2.3816,2.3816,1.04%,开放申购,开放赎回,005304,2021-04-20
10,2.3572,2.3572,2.52%,开放申购,开放赎回,005304,2021-04-19
12,2.2992,2.2992,-0.25%,开放申购,开放赎回,005304,2021-04-16
13,2.3050,2.3050,0.34%,开放申购,开放赎回,005304,2021-04-15
14,2.2971,2.2971,1.07%,开放申购,开放赎回,005304,2021-04-14
15,2.2728,2.2728,0.80%,开放申购,开放赎回,005304,2021-04-13
16,2.2547,2.2547,-2.19%,开放申购,开放赎回,005304,2021-04-12
17,2.3052,2.3052,-0.74%,开放申购,开放赎回,005304,2021-04-09
18,2.3225,2.3225,1.69%,开放申购,开放赎回,005304,2021-04-08
19,2.2840,2.2840,-0.90%,开放申购,开放赎回,005304,2021-04-07
20,2.3048,2.3048,-0.83%,暂停申购,暂停赎回,005304,2021-04-06
21,2.3241,2.3241,0.40%,暂停申购,暂停赎回,005304,2021-04-02
23,2.3148,2.3148,2.60%,开放申购,开放赎回,005304,2021-04-01
24,2.2561,2.2561,-0.95%,开放申购,开放赎回,005304,2021-03-31
25,2.2777,2.2777,2.13%,开放申购,开放赎回,005304,2021-03-30
26,2.2302,2.2302,0.03%,开放申购,开放赎回,005304,2021-03-29
27,2.2295,2.2295,2.96%,开放申购,开放赎回,005304,2021-03-26
28,2.1653,2.1653,0.25%,开放申购,开放赎回,005304,2021-03-25
29,2.1599,2.1599,-0.23%,开放申购,开放赎回,005304,2021-03-24
30,2.1648,2.1648,-0.43%,开放申购,开放赎回,005304,2021-03-23
31,2.1742,2.1742,1.81%,开放申购,开放赎回,005304,2021-03-22
32,2.1356,2.1356,-2.06%,开放申购,开放赎回,005304,2021-03-19
34,2.1805,2.1805,2.23%,开放申购,开放赎回,005304,2021-03-18
35,2.1330,2.1330,2.03%,开放申购,开放赎回,005304,2021-03-17
36,2.0906,2.0906,1.40%,开放申购,开放赎回,005304,2021-03-16
37,2.0617,2.0617,-3.81%,开放申购,开放赎回,005304,2021-03-15
38,2.1433,2.1433,0.81%,开放申购,开放赎回,005304,2021-03-12
39,2.1261,2.1261,2.38%,开放申购,开放赎回,005304,2021-03-11
40,2.0767,2.0767,2.59%,开放申购,开放赎回,005304,2021-03-10
41,2.0242,2.0242,-3.30%,开放申购,开放赎回,005304,2021-03-09
42,2.0932,2.0932,-4.85%,开放申购,开放赎回,005304,2021-03-08
43,2.1999,2.1999,0.45%,开放申购,开放赎回,005304,2021-03-05
45,2.1901,2.1901,-3.64%,开放申购,开放赎回,005304,2021-03-04
46,2.2728,2.2728,0.98%,开放申购,开放赎回,005304,2021-03-03
47,2.2507,2.2507,-1.21%,开放申购,开放赎回,005304,2021-03-02
48,2.2782,2.2782,2.17%,开放申购,开放赎回,005304,2021-03-01
49,2.2299,2.2299,-1.84%,开放申购,开放赎回,005304,2021-02-26
50,2.2716,2.2716,-0.04%,开放申购,开放赎回,005304,2021-02-25
51,2.2725,2.2725,-2.57%,开放申购,开放赎回,005304,2021-02-24
52,2.3325,2.3325,0.54%,开放申购,开放赎回,005304,2021-02-23
53,2.3200,2.3200,-4.67%,开放申购,开放赎回,005304,2021-02-22
54,2.4337,2.4337,0.26%,开放申购,开放赎回,005304,2021-02-19
56,2.4275,2.4275,-5.11%,开放申购,开放赎回,005304,2021-02-18
57,2.5582,2.5582,2.37%,暂停申购,暂停赎回,005304,2021-02-10
58,2.4990,2.4990,2.11%,暂停申购,暂停赎回,005304,2021-02-09
59,2.4474,2.4474,1.54%,开放申购,开放赎回,005304,2021-02-08
60,2.4102,2.4102,2.26%,开放申购,开放赎回,005304,2021-02-05
61,2.3570,2.3570,-1.31%,开放申购,开放赎回,005304,2021-02-04
62,2.3884,2.3884,1.19%,开放申购,开放赎回,005304,2021-02-03
63,2.3604,2.3604,1.44%,开放申购,开放赎回,005304,2021-02-02
64,2.3268,2.3268,2.51%,开放申购,开放赎回,005304,2021-02-01
65,2.2699,2.2699,-0.88%,开放申购,开放赎回,005304,2021-01-29
67,2.2901,2.2901,-2.22%,开放申购,开放赎回,005304,2021-01-28
68,2.3422,2.3422,-0.95%,开放申购,开放赎回,005304,2021-01-27
69,2.3646,2.3646,-2.68%,开放申购,开放赎回,005304,2021-01-26
70,2.4298,2.4298,0.75%,开放申购,开放赎回,005304,2021-01-25
71,2.4116,2.4116,3.87%,开放申购,开放赎回,005304,2021-01-22
72,2.3218,2.3218,2.37%,开放申购,开放赎回,005304,2021-01-21
73,2.2681,2.2681,3.91%,开放申购,开放赎回,005304,2021-01-20
74,2.1828,2.1828,-1.25%,开放申购,开放赎回,005304,2021-01-19
75,2.2105,2.2105,0.40%,开放申购,开放赎回,005304,2021-01-18
76,2.2017,2.2017,0.58%,开放申购,开放赎回,005304,2021-01-15
78,2.1891,2.1891,-0.60%,开放申购,开放赎回,005304,2021-01-14
