,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,0.9489,0.9489,-0.87%,开放申购,开放赎回,009500,2021-04-30
2,0.9572,0.9572,0.76%,开放申购,开放赎回,009500,2021-04-29
3,0.9500,0.9500,0.34%,开放申购,开放赎回,009500,2021-04-28
4,0.9468,0.9468,-0.33%,开放申购,开放赎回,009500,2021-04-27
5,0.9499,0.9499,-0.59%,开放申购,开放赎回,009500,2021-04-26
6,0.9555,0.9555,-0.48%,开放申购,开放赎回,009500,2021-04-23
7,0.9601,0.9601,0.26%,开放申购,开放赎回,009500,2021-04-22
8,0.9576,0.9576,-0.61%,开放申购,开放赎回,009500,2021-04-21
9,0.9635,0.9635,0.01%,开放申购,开放赎回,009500,2021-04-20
10,0.9634,0.9634,0.95%,开放申购,开放赎回,009500,2021-04-19
12,0.9543,0.9543,1.28%,开放申购,开放赎回,009500,2021-04-16
13,0.9422,0.9422,-0.45%,开放申购,开放赎回,009500,2021-04-15
14,0.9465,0.9465,0.60%,开放申购,开放赎回,009500,2021-04-14
15,0.9409,0.9409,-0.74%,开放申购,开放赎回,009500,2021-04-13
16,0.9479,0.9479,-0.97%,开放申购,开放赎回,009500,2021-04-12
17,0.9572,0.9572,-0.43%,开放申购,开放赎回,009500,2021-04-09
18,0.9613,0.9613,0.00%,开放申购,开放赎回,009500,2021-04-08
19,0.9613,0.9613,-0.14%,开放申购,开放赎回,009500,2021-04-07
20,0.9626,0.9626,0.26%,开放申购,开放赎回,009500,2021-04-06
21,0.9601,0.9601,-0.57%,开放申购,开放赎回,009500,2021-04-02
23,0.9656,0.9656,0.16%,开放申购,开放赎回,009500,2021-04-01
24,0.9641,0.9641,-0.52%,开放申购,开放赎回,009500,2021-03-31
25,0.9691,0.9691,0.05%,开放申购,开放赎回,009500,2021-03-30
26,0.9686,0.9686,0.95%,开放申购,开放赎回,009500,2021-03-29
27,0.9595,0.9595,1.27%,开放申购,开放赎回,009500,2021-03-26
28,0.9475,0.9475,-0.55%,开放申购,开放赎回,009500,2021-03-25
29,0.9527,0.9527,-2.29%,开放申购,开放赎回,009500,2021-03-24
30,0.9750,0.9750,-1.47%,开放申购,开放赎回,009500,2021-03-23
31,0.9895,0.9895,0.60%,开放申购,开放赎回,009500,2021-03-22
32,0.9836,0.9836,-2.71%,开放申购,开放赎回,009500,2021-03-19
34,1.0110,1.0110,0.56%,开放申购,开放赎回,009500,2021-03-18
35,1.0054,1.0054,-1.07%,开放申购,开放赎回,009500,2021-03-17
36,1.0163,1.0163,0.34%,开放申购,开放赎回,009500,2021-03-16
37,1.0129,1.0129,0.95%,开放申购,开放赎回,009500,2021-03-15
38,1.0034,1.0034,-0.76%,开放申购,开放赎回,009500,2021-03-12
39,1.0111,1.0111,2.17%,开放申购,开放赎回,009500,2021-03-11
40,0.9896,0.9896,-0.70%,开放申购,开放赎回,009500,2021-03-10
41,0.9966,0.9966,-1.90%,开放申购,开放赎回,009500,2021-03-09
42,1.0159,1.0159,-1.45%,开放申购,开放赎回,009500,2021-03-08
43,1.0308,1.0308,0.09%,开放申购,开放赎回,009500,2021-03-05
45,1.0299,1.0299,-2.06%,开放申购,开放赎回,009500,2021-03-04
46,1.0516,1.0516,2.78%,开放申购,开放赎回,009500,2021-03-03
47,1.0232,1.0232,-2.10%,开放申购,开放赎回,009500,2021-03-02
48,1.0452,1.0452,1.66%,开放申购,开放赎回,009500,2021-03-01
49,1.0281,1.0281,-3.54%,开放申购,开放赎回,009500,2021-02-26
50,1.0658,1.0658,1.41%,开放申购,开放赎回,009500,2021-02-25
51,1.0510,1.0510,-2.93%,开放申购,开放赎回,009500,2021-02-24
52,1.0827,1.0827,1.26%,开放申购,开放赎回,009500,2021-02-23
53,1.0692,1.0692,0.41%,开放申购,开放赎回,009500,2021-02-22
54,1.0648,1.0648,0.03%,开放申购,开放赎回,009500,2021-02-19
56,1.0645,1.0645,2.36%,开放申购,开放赎回,009500,2021-02-18
57,1.0400,1.0400,1.18%,开放申购,开放赎回,009500,2021-02-10
58,1.0279,1.0279,0.98%,开放申购,开放赎回,009500,2021-02-09
59,1.0179,1.0179,1.03%,开放申购,开放赎回,009500,2021-02-08
60,1.0075,1.0075,-0.32%,开放申购,开放赎回,009500,2021-02-05
61,1.0107,1.0107,0.32%,开放申购,开放赎回,009500,2021-02-04
62,1.0075,1.0075,0.41%,开放申购,开放赎回,009500,2021-02-03
63,1.0034,1.0034,0.59%,开放申购,开放赎回,009500,2021-02-02
64,0.9975,0.9975,1.04%,开放申购,开放赎回,009500,2021-02-01
65,0.9872,0.9872,-1.68%,开放申购,开放赎回,009500,2021-01-29
67,1.0041,1.0041,-1.03%,开放申购,开放赎回,009500,2021-01-28
68,1.0145,1.0145,1.31%,开放申购,开放赎回,009500,2021-01-27
69,1.0014,1.0014,-0.83%,开放申购,开放赎回,009500,2021-01-26
70,1.0098,1.0098,0.40%,开放申购,开放赎回,009500,2021-01-25
71,1.0058,1.0058,-1.69%,开放申购,开放赎回,009500,2021-01-22
72,1.0231,1.0231,0.18%,开放申购,开放赎回,009500,2021-01-21
73,1.0213,1.0213,-0.27%,开放申购,开放赎回,009500,2021-01-20
74,1.0241,1.0241,-0.08%,开放申购,开放赎回,009500,2021-01-19
75,1.0249,1.0249,1.39%,开放申购,开放赎回,009500,2021-01-18
76,1.0108,1.0108,0.71%,开放申购,开放赎回,009500,2021-01-15
78,1.0037,1.0037,-0.12%,开放申购,开放赎回,009500,2021-01-14
79,1.0049,1.0049,-0.12%,开放申购,开放赎回,009500,2021-01-13
80,1.0061,1.0061,0.55%,开放申购,开放赎回,009500,2021-01-12
81,1.0006,1.0006,-0.63%,开放申购,开放赎回,009500,2021-01-11
82,1.0069,1.0069,0.47%,开放申购,开放赎回,009500,2021-01-08
