,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.5769,1.5769,-0.01%,开放申购,开放赎回,008528,2021-04-30
2,1.5770,1.5770,0.57%,开放申购,开放赎回,008528,2021-04-29
3,1.5681,1.5681,1.89%,开放申购,开放赎回,008528,2021-04-28
4,1.5390,1.5390,2.08%,开放申购,开放赎回,008528,2021-04-27
5,1.5076,1.5076,-2.18%,开放申购,开放赎回,008528,2021-04-26
6,1.5412,1.5412,1.51%,开放申购,开放赎回,008528,2021-04-23
7,1.5182,1.5182,0.22%,开放申购,开放赎回,008528,2021-04-22
8,1.5148,1.5148,0.52%,开放申购,开放赎回,008528,2021-04-21
9,1.5069,1.5069,1.28%,开放申购,开放赎回,008528,2021-04-20
10,1.4878,1.4878,1.48%,开放申购,开放赎回,008528,2021-04-19
12,1.4661,1.4661,-0.07%,开放申购,开放赎回,008528,2021-04-16
13,1.4671,1.4671,-0.47%,开放申购,开放赎回,008528,2021-04-15
14,1.4741,1.4741,0.45%,开放申购,开放赎回,008528,2021-04-14
15,1.4675,1.4675,0.80%,开放申购,开放赎回,008528,2021-04-13
16,1.4558,1.4558,-1.72%,开放申购,开放赎回,008528,2021-04-12
17,1.4813,1.4813,-1.54%,开放申购,开放赎回,008528,2021-04-09
18,1.5044,1.5044,0.74%,开放申购,开放赎回,008528,2021-04-08
19,1.4934,1.4934,-0.33%,开放申购,开放赎回,008528,2021-04-07
20,1.4983,1.4983,-0.89%,开放申购,开放赎回,008528,2021-04-06
21,1.5117,1.5117,0.81%,开放申购,开放赎回,008528,2021-04-02
23,1.4996,1.4996,0.62%,开放申购,开放赎回,008528,2021-04-01
24,1.4903,1.4903,-0.55%,开放申购,开放赎回,008528,2021-03-31
25,1.4986,1.4986,0.81%,开放申购,开放赎回,008528,2021-03-30
26,1.4866,1.4866,0.13%,开放申购,开放赎回,008528,2021-03-29
27,1.4847,1.4847,1.46%,开放申购,开放赎回,008528,2021-03-26
28,1.4634,1.4634,0.00%,开放申购,开放赎回,008528,2021-03-25
29,1.4634,1.4634,-0.87%,开放申购,开放赎回,008528,2021-03-24
30,1.4762,1.4762,-0.59%,开放申购,开放赎回,008528,2021-03-23
31,1.4850,1.4850,0.34%,开放申购,开放赎回,008528,2021-03-22
32,1.4800,1.4800,-2.28%,开放申购,开放赎回,008528,2021-03-19
34,1.5146,1.5146,0.52%,开放申购,开放赎回,008528,2021-03-18
35,1.5067,1.5067,-0.12%,开放申购,开放赎回,008528,2021-03-17
36,1.5085,1.5085,1.13%,开放申购,开放赎回,008528,2021-03-16
37,1.4917,1.4917,-2.27%,开放申购,开放赎回,008528,2021-03-15
38,1.5264,1.5264,-0.77%,开放申购,开放赎回,008528,2021-03-12
39,1.5383,1.5383,2.42%,开放申购,开放赎回,008528,2021-03-11
40,1.5020,1.5020,0.98%,开放申购,开放赎回,008528,2021-03-10
41,1.4874,1.4874,-1.37%,开放申购,开放赎回,008528,2021-03-09
42,1.5081,1.5081,-2.92%,开放申购,开放赎回,008528,2021-03-08
43,1.5534,1.5534,0.17%,开放申购,开放赎回,008528,2021-03-05
45,1.5507,1.5507,-2.64%,开放申购,开放赎回,008528,2021-03-04
46,1.5928,1.5928,2.13%,开放申购,开放赎回,008528,2021-03-03
47,1.5596,1.5596,-2.11%,开放申购,开放赎回,008528,2021-03-02
48,1.5932,1.5932,1.38%,开放申购,开放赎回,008528,2021-03-01
49,1.5715,1.5715,-3.21%,开放申购,开放赎回,008528,2021-02-26
50,1.6237,1.6237,-0.33%,开放申购,开放赎回,008528,2021-02-25
51,1.6291,1.6291,-4.94%,开放申购,开放赎回,008528,2021-02-24
52,1.7137,1.7137,-0.95%,开放申购,开放赎回,008528,2021-02-23
53,1.7301,1.7301,-5.78%,开放申购,开放赎回,008528,2021-02-22
54,1.8363,1.8363,0.26%,开放申购,开放赎回,008528,2021-02-19
56,1.8316,1.8316,-3.03%,开放申购,开放赎回,008528,2021-02-18
57,1.8889,1.8889,2.08%,开放申购,开放赎回,008528,2021-02-10
58,1.8505,1.8505,2.20%,开放申购,开放赎回,008528,2021-02-09
59,1.8107,1.8107,0.85%,开放申购,开放赎回,008528,2021-02-08
60,1.7954,1.7954,1.17%,开放申购,开放赎回,008528,2021-02-05
61,1.7746,1.7746,-1.16%,开放申购,开放赎回,008528,2021-02-04
62,1.7955,1.7955,0.79%,开放申购,开放赎回,008528,2021-02-03
63,1.7814,1.7814,3.04%,开放申购,开放赎回,008528,2021-02-02
64,1.7288,1.7288,1.20%,开放申购,开放赎回,008528,2021-02-01
65,1.7083,1.7083,0.90%,开放申购,开放赎回,008528,2021-01-29
67,1.6931,1.6931,-3.24%,开放申购,开放赎回,008528,2021-01-28
68,1.7498,1.7498,-2.06%,开放申购,开放赎回,008528,2021-01-27
69,1.7866,1.7866,-4.85%,开放申购,开放赎回,008528,2021-01-26
70,1.8776,1.8776,4.92%,开放申购,开放赎回,008528,2021-01-25
71,1.7896,1.7896,2.77%,开放申购,开放赎回,008528,2021-01-22
72,1.7414,1.7414,1.21%,开放申购,开放赎回,008528,2021-01-21
73,1.7206,1.7206,5.75%,开放申购,开放赎回,008528,2021-01-20
74,1.6271,1.6271,0.45%,开放申购,开放赎回,008528,2021-01-19
75,1.6198,1.6198,1.50%,开放申购,开放赎回,008528,2021-01-18
76,1.5958,1.5958,-0.57%,开放申购,开放赎回,008528,2021-01-15
78,1.6050,1.6050,-1.21%,开放申购,开放赎回,008528,2021-01-14
79,1.6246,1.6246,-2.30%,开放申购,开放赎回,008528,2021-01-13
80,1.6628,1.6628,2.36%,开放申购,开放赎回,008528,2021-01-12
81,1.6245,1.6245,-2.26%,开放申购,开放赎回,008528,2021-01-11
82,1.6621,1.6621,-1.11%,开放申购,开放赎回,008528,2021-01-08
83,1.6807,1.6807,1.45%,开放申购,开放赎回,008528,2021-01-07
84,1.6566,1.6566,0.67%,开放申购,开放赎回,008528,2021-01-06
85,1.6456,1.6456,2.50%,开放申购,开放赎回,008528,2021-01-05
86,1.6055,1.6055,3.29%,开放申购,开放赎回,008528,2021-01-04
