,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0115,1.0235,,暂停申购,暂停赎回,009212,2021-04-30
2,1.0109,1.0229,,暂停申购,暂停赎回,009212,2021-04-23
3,1.0103,1.0223,,暂停申购,暂停赎回,009212,2021-04-16
4,1.0097,1.0217,,暂停申购,暂停赎回,009212,2021-04-09
5,1.0091,1.0211,,暂停申购,暂停赎回,009212,2021-04-02
6,1.0085,1.0205,,暂停申购,暂停赎回,009212,2021-03-26
7,1.0079,1.0199,,暂停申购,暂停赎回,009212,2021-03-19
8,1.0073,1.0193,,暂停申购,暂停赎回,009212,2021-03-12
9,1.0067,1.0187,,暂停申购,暂停赎回,009212,2021-03-05
10,1.0061,1.0181,,暂停申购,暂停赎回,009212,2021-02-26
12,1.0055,1.0175,,暂停申购,暂停赎回,009212,2021-02-19
13,1.0048,1.0168,,暂停申购,暂停赎回,009212,2021-02-10
14,1.0044,1.0164,,暂停申购,暂停赎回,009212,2021-02-05
15,1.0039,1.0159,,暂停申购,暂停赎回,009212,2021-01-29
16,1.0034,1.0154,,暂停申购,暂停赎回,009212,2021-01-22
17,1.0028,1.0148,,暂停申购,暂停赎回,009212,2021-01-15
18,1.0022,1.0142,,暂停申购,暂停赎回,009212,2021-01-08
