,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,0.7550,0.7550,-0.40%,开放申购,开放赎回,164701,2021-04-29
2,0.7580,0.7580,0.00%,开放申购,开放赎回,164701,2021-04-28
3,0.7580,0.7580,-0.13%,开放申购,开放赎回,164701,2021-04-27
4,0.7590,0.7590,0.13%,开放申购,开放赎回,164701,2021-04-26
5,0.7580,0.7580,-0.39%,开放申购,开放赎回,164701,2021-04-23
6,0.7610,0.7610,-0.65%,开放申购,开放赎回,164701,2021-04-22
7,0.7660,0.7660,0.79%,开放申购,开放赎回,164701,2021-04-21
8,0.7600,0.7600,0.13%,开放申购,开放赎回,164701,2021-04-20
9,0.7590,0.7590,-0.26%,开放申购,开放赎回,164701,2021-04-19
10,0.7610,0.7610,0.79%,开放申购,开放赎回,164701,2021-04-16
12,0.7550,0.7550,1.21%,开放申购,开放赎回,164701,2021-04-15
13,0.7460,0.7460,-0.40%,开放申购,开放赎回,164701,2021-04-14
14,0.7490,0.7490,0.40%,开放申购,开放赎回,164701,2021-04-13
15,0.7460,0.7460,-0.27%,开放申购,开放赎回,164701,2021-04-12
16,0.7480,0.7480,-0.80%,开放申购,开放赎回,164701,2021-04-09
17,0.7540,0.7540,1.07%,开放申购,开放赎回,164701,2021-04-08
18,0.7460,0.7460,-0.40%,开放申购,开放赎回,164701,2021-04-07
19,0.7490,0.7490,0.67%,开放申购,开放赎回,164701,2021-04-06
20,0.7440,0.7440,0.13%,暂停申购,暂停赎回,164701,2021-04-02
21,0.7430,0.7430,0.95%,开放申购,开放赎回,164701,2021-04-01
23,0.7360,0.7360,1.38%,开放申购,开放赎回,164701,2021-03-31
24,0.7260,0.7260,-1.36%,开放申购,开放赎回,164701,2021-03-30
25,0.7360,0.7360,-0.94%,开放申购,开放赎回,164701,2021-03-29
26,0.7430,0.7430,0.27%,开放申购,开放赎回,164701,2021-03-26
27,0.7410,0.7410,-0.27%,开放申购,开放赎回,164701,2021-03-25
28,0.7430,0.7430,0.68%,开放申购,开放赎回,164701,2021-03-24
29,0.7380,0.7380,-1.07%,开放申购,开放赎回,164701,2021-03-23
30,0.7460,0.7460,0.13%,开放申购,开放赎回,164701,2021-03-22
31,0.7450,0.7450,0.68%,开放申购,开放赎回,164701,2021-03-19
32,0.7400,0.7400,-0.40%,开放申购,开放赎回,164701,2021-03-18
34,0.7430,0.7430,0.27%,开放申购,开放赎回,164701,2021-03-17
35,0.7410,0.7410,0.14%,开放申购,开放赎回,164701,2021-03-16
36,0.7400,0.7400,0.82%,开放申购,开放赎回,164701,2021-03-15
37,0.7340,0.7340,-0.41%,开放申购,开放赎回,164701,2021-03-12
38,0.7370,0.7370,-0.14%,开放申购,开放赎回,164701,2021-03-11
39,0.7380,0.7380,0.00%,开放申购,开放赎回,164701,2021-03-10
40,0.7380,0.7380,2.64%,开放申购,开放赎回,164701,2021-03-09
41,0.7190,0.7190,-1.10%,开放申购,开放赎回,164701,2021-03-08
42,0.7270,0.7270,-0.27%,开放申购,开放赎回,164701,2021-03-05
43,0.7290,0.7290,-0.41%,开放申购,开放赎回,164701,2021-03-04
45,0.7320,0.7320,-1.08%,开放申购,开放赎回,164701,2021-03-03
46,0.7400,0.7400,0.00%,开放申购,开放赎回,164701,2021-03-02
47,0.7400,0.7400,0.00%,开放申购,开放赎回,164701,2021-03-01
48,0.7400,0.7400,-2.12%,开放申购,开放赎回,164701,2021-02-26
49,0.7560,0.7560,-1.43%,开放申购,开放赎回,164701,2021-02-25
50,0.7670,0.7670,-0.39%,开放申购,开放赎回,164701,2021-02-24
51,0.7700,0.7700,-0.13%,开放申购,开放赎回,164701,2021-02-23
52,0.7710,0.7710,1.18%,开放申购,开放赎回,164701,2021-02-22
53,0.7620,0.7620,0.40%,开放申购,开放赎回,164701,2021-02-19
54,0.7590,0.7590,-3.19%,开放申购,开放赎回,164701,2021-02-18
56,0.7840,0.7840,0.13%,开放申购,开放赎回,164701,2021-02-10
57,0.7830,0.7830,0.13%,开放申购,开放赎回,164701,2021-02-09
58,0.7820,0.7820,1.03%,开放申购,开放赎回,164701,2021-02-08
59,0.7740,0.7740,1.18%,开放申购,开放赎回,164701,2021-02-05
60,0.7650,0.7650,-2.30%,开放申购,开放赎回,164701,2021-02-04
61,0.7830,0.7830,-0.25%,开放申购,开放赎回,164701,2021-02-03
62,0.7850,0.7850,-1.01%,开放申购,开放赎回,164701,2021-02-02
63,0.7930,0.7930,0.51%,开放申购,开放赎回,164701,2021-02-01
64,0.7890,0.7890,-0.25%,开放申购,开放赎回,164701,2021-01-29
65,0.7910,0.7910,0.51%,开放申购,开放赎回,164701,2021-01-28
67,0.7870,0.7870,-0.88%,开放申购,开放赎回,164701,2021-01-27
68,0.7940,0.7940,0.00%,开放申购,开放赎回,164701,2021-01-26
69,0.7940,0.7940,0.25%,开放申购,开放赎回,164701,2021-01-25
70,0.7920,0.7920,-0.75%,开放申购,开放赎回,164701,2021-01-22
71,0.7980,0.7980,-0.13%,开放申购,开放赎回,164701,2021-01-21
72,0.7990,0.7990,1.27%,开放申购,开放赎回,164701,2021-01-20
73,0.7890,0.7890,0.64%,开放申购,开放赎回,164701,2021-01-19
74,0.7840,0.7840,0.26%,暂停申购,暂停赎回,164701,2021-01-18
75,0.7820,0.7820,-1.01%,开放申购,开放赎回,164701,2021-01-15
76,0.7900,0.7900,0.00%,开放申购,开放赎回,164701,2021-01-14
78,0.7900,0.7900,-0.38%,开放申购,开放赎回,164701,2021-01-13
79,0.7930,0.7930,0.38%,开放申购,开放赎回,164701,2021-01-12
80,0.7900,0.7900,-0.38%,开放申购,开放赎回,164701,2021-01-11
81,0.7930,0.7930,-2.94%,开放申购,开放赎回,164701,2021-01-08
82,0.8170,0.8170,-0.12%,开放申购,开放赎回,164701,2021-01-07
83,0.8180,0.8180,-1.80%,开放申购,开放赎回,164701,2021-01-06
84,0.8330,0.8330,-0.72%,开放申购,开放赎回,164701,2021-01-05
85,0.8390,0.8390,2.44%,开放申购,开放赎回,164701,2021-01-04
