,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.5383,1.5383,-0.80%,开放申购,开放赎回,004856,2021-04-30
2,1.5507,1.5507,0.59%,开放申购,开放赎回,004856,2021-04-29
3,1.5416,1.5416,0.26%,开放申购,开放赎回,004856,2021-04-28
4,1.5376,1.5376,-0.77%,开放申购,开放赎回,004856,2021-04-27
5,1.5496,1.5496,-0.10%,开放申购,开放赎回,004856,2021-04-26
6,1.5511,1.5511,0.41%,开放申购,开放赎回,004856,2021-04-23
7,1.5448,1.5448,0.57%,开放申购,开放赎回,004856,2021-04-22
8,1.5361,1.5361,0.11%,开放申购,开放赎回,004856,2021-04-21
9,1.5344,1.5344,-0.05%,开放申购,开放赎回,004856,2021-04-20
10,1.5352,1.5352,1.66%,开放申购,开放赎回,004856,2021-04-19
12,1.5102,1.5102,1.66%,开放申购,开放赎回,004856,2021-04-16
13,1.4856,1.4856,-0.01%,开放申购,开放赎回,004856,2021-04-15
14,1.4858,1.4858,0.86%,开放申购,开放赎回,004856,2021-04-14
15,1.4731,1.4731,-0.39%,开放申购,开放赎回,004856,2021-04-13
16,1.4789,1.4789,-1.97%,开放申购,开放赎回,004856,2021-04-12
17,1.5086,1.5086,-0.78%,开放申购,开放赎回,004856,2021-04-09
18,1.5204,1.5204,-0.20%,开放申购,开放赎回,004856,2021-04-08
19,1.5235,1.5235,0.57%,开放申购,开放赎回,004856,2021-04-07
20,1.5148,1.5148,0.11%,开放申购,开放赎回,004856,2021-04-06
21,1.5132,1.5132,0.36%,开放申购,开放赎回,004856,2021-04-02
23,1.5078,1.5078,0.53%,开放申购,开放赎回,004856,2021-04-01
24,1.4999,1.4999,-0.75%,开放申购,开放赎回,004856,2021-03-31
25,1.5112,1.5112,0.45%,开放申购,开放赎回,004856,2021-03-30
26,1.5045,1.5045,1.71%,开放申购,开放赎回,004856,2021-03-29
27,1.4792,1.4792,3.51%,开放申购,开放赎回,004856,2021-03-26
28,1.4290,1.4290,0.11%,开放申购,开放赎回,004856,2021-03-25
29,1.4275,1.4275,-2.69%,开放申购,开放赎回,004856,2021-03-24
30,1.4669,1.4669,-0.05%,开放申购,开放赎回,004856,2021-03-23
31,1.4676,1.4676,-0.04%,开放申购,开放赎回,004856,2021-03-22
32,1.4682,1.4682,-2.05%,开放申购,开放赎回,004856,2021-03-19
34,1.4990,1.4990,0.67%,开放申购,开放赎回,004856,2021-03-18
35,1.4890,1.4890,0.31%,开放申购,开放赎回,004856,2021-03-17
36,1.4844,1.4844,0.20%,开放申购,开放赎回,004856,2021-03-16
37,1.4814,1.4814,-0.90%,开放申购,开放赎回,004856,2021-03-15
38,1.4949,1.4949,1.44%,开放申购,开放赎回,004856,2021-03-12
39,1.4737,1.4737,3.57%,开放申购,开放赎回,004856,2021-03-11
40,1.4229,1.4229,0.46%,开放申购,开放赎回,004856,2021-03-10
41,1.4164,1.4164,-2.84%,开放申购,开放赎回,004856,2021-03-09
42,1.4578,1.4578,-1.89%,开放申购,开放赎回,004856,2021-03-08
