,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0438,1.0438,0.18%,开放申购,开放赎回,010114,2021-04-30
2,1.0419,1.0419,-0.15%,开放申购,开放赎回,010114,2021-04-29
3,1.0435,1.0435,1.20%,开放申购,开放赎回,010114,2021-04-28
4,1.0311,1.0311,0.45%,开放申购,开放赎回,010114,2021-04-27
5,1.0265,1.0265,-0.52%,开放申购,开放赎回,010114,2021-04-26
6,1.0319,1.0319,0.19%,开放申购,开放赎回,010114,2021-04-23
7,1.0299,1.0299,1.16%,开放申购,开放赎回,010114,2021-04-22
8,1.0181,1.0181,0.12%,开放申购,开放赎回,010114,2021-04-21
9,1.0169,1.0169,-0.80%,开放申购,开放赎回,010114,2021-04-20
10,1.0251,1.0251,3.27%,开放申购,开放赎回,010114,2021-04-19
12,0.9926,0.9926,0.52%,开放申购,开放赎回,010114,2021-04-16
13,0.9875,0.9875,-0.32%,开放申购,开放赎回,010114,2021-04-15
14,0.9907,0.9907,2.51%,开放申购,开放赎回,010114,2021-04-14
15,0.9664,0.9664,-0.36%,开放申购,开放赎回,010114,2021-04-13
16,0.9699,0.9699,-2.58%,开放申购,开放赎回,010114,2021-04-12
17,0.9956,0.9956,-0.62%,开放申购,开放赎回,010114,2021-04-09
18,1.0018,1.0018,-0.17%,开放申购,开放赎回,010114,2021-04-08
19,1.0035,1.0035,-1.31%,开放申购,开放赎回,010114,2021-04-07
20,1.0168,1.0168,-0.18%,开放申购,开放赎回,010114,2021-04-06
21,1.0186,1.0186,1.13%,开放申购,开放赎回,010114,2021-04-02
23,1.0072,1.0072,2.51%,开放申购,开放赎回,010114,2021-04-01
24,0.9825,0.9825,-1.36%,开放申购,开放赎回,010114,2021-03-31
25,0.9960,0.9960,1.30%,开放申购,开放赎回,010114,2021-03-30
26,0.9832,0.9832,-0.20%,开放申购,开放赎回,010114,2021-03-29
27,0.9852,0.9852,3.29%,开放申购,开放赎回,010114,2021-03-26
28,0.9538,0.9538,0.73%,开放申购,开放赎回,010114,2021-03-25
29,0.9469,0.9469,-1.83%,开放申购,开放赎回,010114,2021-03-24
30,0.9646,0.9646,-3.09%,开放申购,开放赎回,010114,2021-03-23
31,0.9954,0.9954,0.33%,开放申购,开放赎回,010114,2021-03-22
32,0.9921,0.9921,-1.42%,开放申购,开放赎回,010114,2021-03-19
34,1.0064,1.0064,1.05%,开放申购,开放赎回,010114,2021-03-18
35,0.9959,0.9959,1.50%,开放申购,开放赎回,010114,2021-03-17
36,0.9812,0.9812,0.90%,开放申购,开放赎回,010114,2021-03-16
37,0.9724,0.9724,-3.81%,开放申购,开放赎回,010114,2021-03-15
38,1.0109,1.0109,-0.86%,开放申购,开放赎回,010114,2021-03-12
39,1.0197,1.0197,1.55%,开放申购,开放赎回,010114,2021-03-11
40,1.0041,1.0041,0.87%,开放申购,开放赎回,010114,2021-03-10
41,0.9954,0.9954,-2.30%,开放申购,开放赎回,010114,2021-03-09
42,1.0188,1.0188,-5.29%,开放申购,开放赎回,010114,2021-03-08
43,1.0757,1.0757,0.35%,开放申购,开放赎回,010114,2021-03-05
45,1.0720,1.0720,-4.89%,开放申购,开放赎回,010114,2021-03-04
46,1.1271,1.1271,0.62%,开放申购,开放赎回,010114,2021-03-03
47,1.1201,1.1201,-0.14%,开放申购,开放赎回,010114,2021-03-02
48,1.1217,1.1217,3.46%,开放申购,开放赎回,010114,2021-03-01
49,1.0842,1.0842,-2.93%,开放申购,开放赎回,010114,2021-02-26
50,1.1169,1.1169,0.71%,开放申购,开放赎回,010114,2021-02-25
51,1.1090,1.1090,-3.10%,开放申购,开放赎回,010114,2021-02-24
52,1.1445,1.1445,0.73%,开放申购,开放赎回,010114,2021-02-23
53,1.1362,1.1362,-2.21%,开放申购,开放赎回,010114,2021-02-22
54,1.1619,1.1619,-0.81%,开放申购,开放赎回,010114,2021-02-19
56,1.1714,1.1714,-1.92%,开放申购,开放赎回,010114,2021-02-18
57,1.1943,1.1943,3.18%,开放申购,开放赎回,010114,2021-02-10
58,1.1575,1.1575,2.99%,开放申购,开放赎回,010114,2021-02-09
59,1.1239,1.1239,0.03%,开放申购,开放赎回,010114,2021-02-08
60,1.1236,1.1236,-1.08%,开放申购,开放赎回,010114,2021-02-05
61,1.1359,1.1359,-2.36%,开放申购,开放赎回,010114,2021-02-04
62,1.1634,1.1634,-0.45%,开放申购,开放赎回,010114,2021-02-03
63,1.1687,1.1687,2.71%,开放申购,开放赎回,010114,2021-02-02
64,1.1379,1.1379,1.16%,开放申购,开放赎回,010114,2021-02-01
65,1.1249,1.1249,-0.98%,开放申购,开放赎回,010114,2021-01-29
67,1.1360,1.1360,-3.92%,开放申购,开放赎回,010114,2021-01-28
68,1.1824,1.1824,0.47%,开放申购,开放赎回,010114,2021-01-27
69,1.1769,1.1769,-3.56%,开放申购,开放赎回,010114,2021-01-26
70,1.2204,1.2204,0.15%,开放申购,开放赎回,010114,2021-01-25
71,1.2186,1.2186,1.34%,开放申购,开放赎回,010114,2021-01-22
72,1.2025,1.2025,1.03%,开放申购,开放赎回,010114,2021-01-21
73,1.1902,1.1902,3.55%,开放申购,开放赎回,010114,2021-01-20
74,1.1494,1.1494,-1.36%,开放申购,开放赎回,010114,2021-01-19
75,1.1652,1.1652,1.58%,开放申购,开放赎回,010114,2021-01-18
76,1.1471,1.1471,0.00%,开放申购,开放赎回,010114,2021-01-15
78,1.1471,1.1471,-1.08%,开放申购,开放赎回,010114,2021-01-14
79,1.1596,1.1596,-1.04%,开放申购,开放赎回,010114,2021-01-13
80,1.1718,1.1718,1.08%,开放申购,开放赎回,010114,2021-01-12
81,1.1593,1.1593,-0.05%,开放申购,开放赎回,010114,2021-01-11
82,1.1599,1.1599,-0.86%,开放申购,开放赎回,010114,2021-01-08
83,1.1700,1.1700,1.19%,开放申购,开放赎回,010114,2021-01-07
84,1.1562,1.1562,-0.86%,开放申购,开放赎回,010114,2021-01-06
85,1.1662,1.1662,1.89%,开放申购,开放赎回,010114,2021-01-05
86,1.1446,1.1446,3.94%,开放申购,开放赎回,010114,2021-01-04
