,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,2.1342,2.1342,-1.19%,开放申购,开放赎回,005730,2021-04-30
2,2.1599,2.1599,0.93%,开放申购,开放赎回,005730,2021-04-29
3,2.1399,2.1399,-0.39%,开放申购,开放赎回,005730,2021-04-28
4,2.1483,2.1483,0.36%,开放申购,开放赎回,005730,2021-04-27
5,2.1407,2.1407,-0.82%,开放申购,开放赎回,005730,2021-04-26
6,2.1583,2.1583,0.63%,开放申购,开放赎回,005730,2021-04-23
7,2.1447,2.1447,0.03%,开放申购,开放赎回,005730,2021-04-22
8,2.1440,2.1440,0.20%,开放申购,开放赎回,005730,2021-04-21
9,2.1397,2.1397,0.56%,开放申购,开放赎回,005730,2021-04-20
10,2.1278,2.1278,1.02%,开放申购,开放赎回,005730,2021-04-19
12,2.1064,2.1064,0.04%,开放申购,开放赎回,005730,2021-04-16
13,2.1056,2.1056,-0.42%,开放申购,开放赎回,005730,2021-04-15
14,2.1144,2.1144,0.42%,开放申购,开放赎回,005730,2021-04-14
15,2.1056,2.1056,-0.24%,开放申购,开放赎回,005730,2021-04-13
16,2.1107,2.1107,-1.48%,开放申购,开放赎回,005730,2021-04-12
17,2.1423,2.1423,-0.39%,开放申购,开放赎回,005730,2021-04-09
18,2.1507,2.1507,-0.01%,开放申购,开放赎回,005730,2021-04-08
19,2.1509,2.1509,0.52%,开放申购,开放赎回,005730,2021-04-07
20,2.1397,2.1397,0.54%,开放申购,开放赎回,005730,2021-04-06
21,2.1282,2.1282,-0.15%,开放申购,开放赎回,005730,2021-04-02
23,2.1314,2.1314,0.96%,开放申购,开放赎回,005730,2021-04-01
24,2.1112,2.1112,-0.18%,开放申购,开放赎回,005730,2021-03-31
25,2.1150,2.1150,0.31%,开放申购,开放赎回,005730,2021-03-30
26,2.1084,2.1084,1.01%,开放申购,开放赎回,005730,2021-03-29
27,2.0873,2.0873,1.10%,开放申购,开放赎回,005730,2021-03-26
28,2.0646,2.0646,0.10%,开放申购,开放赎回,005730,2021-03-25
29,2.0625,2.0625,-2.90%,开放申购,开放赎回,005730,2021-03-24
30,2.1240,2.1240,-2.36%,开放申购,开放赎回,005730,2021-03-23
31,2.1753,2.1753,1.34%,开放申购,开放赎回,005730,2021-03-22
32,2.1465,2.1465,-2.31%,开放申购,开放赎回,005730,2021-03-19
34,2.1972,2.1972,1.66%,开放申购,开放赎回,005730,2021-03-18
35,2.1613,2.1613,-0.57%,开放申购,开放赎回,005730,2021-03-17
36,2.1737,2.1737,0.65%,开放申购,开放赎回,005730,2021-03-16
37,2.1597,2.1597,-0.53%,开放申购,开放赎回,005730,2021-03-15
38,2.1712,2.1712,1.17%,开放申购,开放赎回,005730,2021-03-12
39,2.1461,2.1461,3.50%,开放申购,开放赎回,005730,2021-03-11
40,2.0736,2.0736,-0.14%,开放申购,开放赎回,005730,2021-03-10
41,2.0766,2.0766,-1.44%,开放申购,开放赎回,005730,2021-03-09
