,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.6086,1.6086,-0.01%,开放申购,开放赎回,001250,2021-04-30
2,1.6088,1.6088,0.07%,开放申购,开放赎回,001250,2021-04-29
3,1.6077,1.6077,0.36%,开放申购,开放赎回,001250,2021-04-28
4,1.6019,1.6019,0.09%,开放申购,开放赎回,001250,2021-04-27
5,1.6005,1.6005,-0.11%,开放申购,开放赎回,001250,2021-04-26
6,1.6022,1.6022,0.29%,开放申购,开放赎回,001250,2021-04-23
7,1.5976,1.5976,-0.03%,开放申购,开放赎回,001250,2021-04-22
8,1.5980,1.5980,0.10%,开放申购,开放赎回,001250,2021-04-21
9,1.5964,1.5964,0.39%,开放申购,开放赎回,001250,2021-04-20
10,1.5902,1.5902,0.75%,开放申购,开放赎回,001250,2021-04-19
12,1.5784,1.5784,0.25%,开放申购,开放赎回,001250,2021-04-16
13,1.5745,1.5745,-0.09%,开放申购,开放赎回,001250,2021-04-15
14,1.5759,1.5759,0.27%,开放申购,开放赎回,001250,2021-04-14
15,1.5717,1.5717,0.04%,开放申购,开放赎回,001250,2021-04-13
16,1.5710,1.5710,-0.33%,开放申购,开放赎回,001250,2021-04-12
17,1.5762,1.5762,-0.35%,开放申购,开放赎回,001250,2021-04-09
18,1.5817,1.5817,0.23%,开放申购,开放赎回,001250,2021-04-08
19,1.5781,1.5781,-0.15%,开放申购,开放赎回,001250,2021-04-07
20,1.5805,1.5805,-0.11%,开放申购,开放赎回,001250,2021-04-06
21,1.5823,1.5823,0.31%,开放申购,开放赎回,001250,2021-04-02
23,1.5774,1.5774,0.53%,开放申购,开放赎回,001250,2021-04-01
24,1.5691,1.5691,-0.06%,开放申购,开放赎回,001250,2021-03-31
25,1.5701,1.5701,0.39%,开放申购,开放赎回,001250,2021-03-30
26,1.5640,1.5640,0.15%,开放申购,开放赎回,001250,2021-03-29
27,1.5617,1.5617,0.74%,开放申购,开放赎回,001250,2021-03-26
28,1.5502,1.5502,-0.12%,开放申购,开放赎回,001250,2021-03-25
29,1.5521,1.5521,-0.33%,开放申购,开放赎回,001250,2021-03-24
30,1.5572,1.5572,-0.14%,开放申购,开放赎回,001250,2021-03-23
31,1.5594,1.5594,0.10%,开放申购,开放赎回,001250,2021-03-22
32,1.5579,1.5579,-0.74%,开放申购,开放赎回,001250,2021-03-19
34,1.5695,1.5695,0.58%,开放申购,开放赎回,001250,2021-03-18
35,1.5605,1.5605,0.31%,开放申购,开放赎回,001250,2021-03-17
36,1.5557,1.5557,0.49%,开放申购,开放赎回,001250,2021-03-16
37,1.5481,1.5481,-0.74%,开放申购,开放赎回,001250,2021-03-15
38,1.5596,1.5596,0.22%,开放申购,开放赎回,001250,2021-03-12
39,1.5561,1.5561,0.90%,开放申购,开放赎回,001250,2021-03-11
40,1.5422,1.5422,0.40%,开放申购,开放赎回,001250,2021-03-10
41,1.5360,1.5360,-0.59%,开放申购,开放赎回,001250,2021-03-09
42,1.5451,1.5451,-1.04%,开放申购,开放赎回,001250,2021-03-08
43,1.5614,1.5614,-0.17%,开放申购,开放赎回,001250,2021-03-05
45,1.5640,1.5640,-0.95%,开放申购,开放赎回,001250,2021-03-04
46,1.5790,1.5790,0.73%,开放申购,开放赎回,001250,2021-03-03
47,1.5676,1.5676,-0.42%,开放申购,开放赎回,001250,2021-03-02
48,1.5742,1.5742,0.65%,开放申购,开放赎回,001250,2021-03-01
49,1.5641,1.5641,-0.70%,开放申购,开放赎回,001250,2021-02-26
50,1.5752,1.5752,0.35%,开放申购,开放赎回,001250,2021-02-25
51,1.5697,1.5697,-1.02%,开放申购,开放赎回,001250,2021-02-24
52,1.5858,1.5858,-0.13%,开放申购,开放赎回,001250,2021-02-23
53,1.5878,1.5878,-0.99%,开放申购,开放赎回,001250,2021-02-22
54,1.6037,1.6037,0.24%,开放申购,开放赎回,001250,2021-02-19
56,1.5999,1.5999,-0.40%,开放申购,开放赎回,001250,2021-02-18
57,1.6063,1.6063,0.79%,开放申购,开放赎回,001250,2021-02-10
58,1.5937,1.5937,0.71%,开放申购,开放赎回,001250,2021-02-09
59,1.5824,1.5824,0.53%,开放申购,开放赎回,001250,2021-02-08
60,1.5740,1.5740,-0.05%,开放申购,开放赎回,001250,2021-02-05
61,1.5748,1.5748,0.11%,开放申购,开放赎回,001250,2021-02-04
62,1.5731,1.5731,-0.26%,开放申购,开放赎回,001250,2021-02-03
63,1.5772,1.5772,0.55%,开放申购,开放赎回,001250,2021-02-02
64,1.5685,1.5685,0.52%,开放申购,开放赎回,001250,2021-02-01
65,1.5604,1.5604,-0.08%,开放申购,开放赎回,001250,2021-01-29
67,1.5616,1.5616,-0.99%,开放申购,开放赎回,001250,2021-01-28
68,1.5772,1.5772,0.09%,开放申购,开放赎回,001250,2021-01-27
69,1.5758,1.5758,-0.74%,开放申购,开放赎回,001250,2021-01-26
70,1.5876,1.5876,0.45%,开放申购,开放赎回,001250,2021-01-25
71,1.5805,1.5805,-0.09%,开放申购,开放赎回,001250,2021-01-22
72,1.5820,1.5820,0.52%,开放申购,开放赎回,001250,2021-01-21
73,1.5738,1.5738,0.24%,限制大额申购,开放赎回,001250,2021-01-20
74,1.5701,1.5701,-0.39%,限制大额申购,开放赎回,001250,2021-01-19
75,1.5763,1.5763,0.43%,限制大额申购,开放赎回,001250,2021-01-18
76,1.5695,1.5695,0.25%,限制大额申购,开放赎回,001250,2021-01-15
78,1.5656,1.5656,-0.51%,限制大额申购,开放赎回,001250,2021-01-14
79,1.5736,1.5736,-0.33%,限制大额申购,开放赎回,001250,2021-01-13
80,1.5788,1.5788,1.02%,限制大额申购,开放赎回,001250,2021-01-12
81,1.5629,1.5629,-0.31%,限制大额申购,开放赎回,001250,2021-01-11
82,1.5677,1.5677,-0.29%,限制大额申购,开放赎回,001250,2021-01-08
83,1.5723,1.5723,0.47%,限制大额申购,开放赎回,001250,2021-01-07
84,1.5649,1.5649,0.27%,限制大额申购,开放赎回,001250,2021-01-06
