,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.2672,1.2672,-0.58%,开放申购,开放赎回,007550,2021-04-30
2,1.2746,1.2746,1.08%,开放申购,开放赎回,007550,2021-04-29
3,1.2610,1.2610,-0.16%,开放申购,开放赎回,007550,2021-04-28
4,1.2630,1.2630,0.13%,开放申购,开放赎回,007550,2021-04-27
5,1.2614,1.2614,-1.25%,开放申购,开放赎回,007550,2021-04-26
6,1.2774,1.2774,0.64%,开放申购,开放赎回,007550,2021-04-23
7,1.2693,1.2693,-0.41%,开放申购,开放赎回,007550,2021-04-22
8,1.2745,1.2745,0.05%,开放申购,开放赎回,007550,2021-04-21
9,1.2738,1.2738,0.11%,开放申购,开放赎回,007550,2021-04-20
10,1.2724,1.2724,1.74%,开放申购,开放赎回,007550,2021-04-19
12,1.2507,1.2507,0.44%,开放申购,开放赎回,007550,2021-04-16
13,1.2452,1.2452,-0.77%,开放申购,开放赎回,007550,2021-04-15
14,1.2548,1.2548,0.14%,开放申购,开放赎回,007550,2021-04-14
15,1.2530,1.2530,0.26%,开放申购,开放赎回,007550,2021-04-13
16,1.2498,1.2498,-0.95%,开放申购,开放赎回,007550,2021-04-12
17,1.2618,1.2618,-1.40%,开放申购,开放赎回,007550,2021-04-09
18,1.2797,1.2797,0.52%,开放申购,开放赎回,007550,2021-04-08
19,1.2731,1.2731,-1.06%,开放申购,开放赎回,007550,2021-04-07
20,1.2868,1.2868,-0.34%,开放申购,开放赎回,007550,2021-04-06
21,1.2912,1.2912,0.91%,开放申购,开放赎回,007550,2021-04-02
23,1.2795,1.2795,0.92%,开放申购,开放赎回,007550,2021-04-01
24,1.2678,1.2678,-0.87%,开放申购,开放赎回,007550,2021-03-31
25,1.2789,1.2789,0.80%,开放申购,开放赎回,007550,2021-03-30
26,1.2687,1.2687,0.32%,开放申购,开放赎回,007550,2021-03-29
27,1.2646,1.2646,1.93%,开放申购,开放赎回,007550,2021-03-26
28,1.2406,1.2406,-0.10%,开放申购,开放赎回,007550,2021-03-25
29,1.2419,1.2419,-1.10%,开放申购,开放赎回,007550,2021-03-24
30,1.2557,1.2557,-0.48%,开放申购,开放赎回,007550,2021-03-23
31,1.2617,1.2617,0.41%,开放申购,开放赎回,007550,2021-03-22
32,1.2565,1.2565,-2.26%,开放申购,开放赎回,007550,2021-03-19
34,1.2855,1.2855,0.59%,开放申购,开放赎回,007550,2021-03-18
35,1.2779,1.2779,0.05%,开放申购,开放赎回,007550,2021-03-17
36,1.2773,1.2773,1.29%,开放申购,开放赎回,007550,2021-03-16
37,1.2610,1.2610,-2.09%,开放申购,开放赎回,007550,2021-03-15
38,1.2879,1.2879,0.74%,开放申购,开放赎回,007550,2021-03-12
39,1.2784,1.2784,2.32%,开放申购,开放赎回,007550,2021-03-11
40,1.2494,1.2494,0.99%,开放申购,开放赎回,007550,2021-03-10
41,1.2372,1.2372,-1.86%,开放申购,开放赎回,007550,2021-03-09
42,1.2607,1.2607,-3.08%,开放申购,开放赎回,007550,2021-03-08
