,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,0.9957,0.9957,-0.03%,开放申购,封闭期,011085,2021-04-30
2,0.9960,0.9960,0.12%,开放申购,封闭期,011085,2021-04-29
3,0.9948,0.9948,-0.02%,开放申购,封闭期,011085,2021-04-28
4,0.9950,0.9950,0.02%,开放申购,封闭期,011085,2021-04-27
5,0.9948,0.9948,-0.15%,开放申购,封闭期,011085,2021-04-26
6,0.9963,0.9963,0.08%,开放申购,封闭期,011085,2021-04-23
7,0.9955,0.9955,0.00%,开放申购,封闭期,011085,2021-04-22
8,0.9955,0.9955,0.00%,开放申购,封闭期,011085,2021-04-21
9,0.9955,0.9955,-0.02%,开放申购,封闭期,011085,2021-04-20
10,0.9957,0.9957,0.12%,开放申购,封闭期,011085,2021-04-19
12,0.9945,0.9945,0.08%,开放申购,封闭期,011085,2021-04-16
13,0.9937,0.9937,-0.10%,开放申购,封闭期,011085,2021-04-15
14,0.9947,0.9947,0.09%,开放申购,封闭期,011085,2021-04-14
15,0.9938,0.9938,-0.04%,开放申购,封闭期,011085,2021-04-13
16,0.9942,0.9942,-0.11%,开放申购,封闭期,011085,2021-04-12
17,0.9953,0.9953,-0.17%,开放申购,封闭期,011085,2021-04-09
18,0.9970,0.9970,0.03%,开放申购,封闭期,011085,2021-04-08
19,0.9967,0.9967,-0.15%,开放申购,封闭期,011085,2021-04-07
20,0.9982,0.9982,-0.06%,开放申购,封闭期,011085,2021-04-06
21,0.9988,0.9988,0.16%,开放申购,封闭期,011085,2021-04-02
23,0.9972,0.9972,0.09%,开放申购,封闭期,011085,2021-04-01
24,0.9963,0.9963,-0.10%,开放申购,封闭期,011085,2021-03-31
25,0.9973,0.9973,-0.02%,开放申购,封闭期,011085,2021-03-30
26,0.9975,0.9975,0.03%,开放申购,封闭期,011085,2021-03-29
27,0.9972,0.9972,0.04%,开放申购,封闭期,011085,2021-03-26
28,0.9968,0.9968,0.01%,开放申购,封闭期,011085,2021-03-25
29,0.9967,0.9967,-0.11%,开放申购,封闭期,011085,2021-03-24
30,0.9978,0.9978,-0.02%,开放申购,封闭期,011085,2021-03-23
31,0.9980,0.9980,0.15%,开放申购,封闭期,011085,2021-03-22
32,0.9965,0.9965,-0.08%,开放申购,封闭期,011085,2021-03-19
34,0.9973,0.9973,0.01%,开放申购,封闭期,011085,2021-03-18
35,0.9972,0.9972,0.00%,开放申购,封闭期,011085,2021-03-17
36,0.9972,0.9972,0.00%,开放申购,封闭期,011085,2021-03-16
37,0.9972,0.9972,-0.05%,开放申购,封闭期,011085,2021-03-15
