,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,2.4999,3.5154,-1.87%,开放申购,开放赎回,213008,2021-04-30
2,2.5476,3.5673,0.26%,开放申购,开放赎回,213008,2021-04-29
3,2.5409,3.5600,2.58%,开放申购,开放赎回,213008,2021-04-28
4,2.4770,3.4905,0.82%,开放申购,开放赎回,213008,2021-04-27
5,2.4569,3.4687,-0.54%,开放申购,开放赎回,213008,2021-04-26
6,2.4702,3.4831,1.19%,开放申购,开放赎回,213008,2021-04-23
7,2.4411,3.4515,0.51%,开放申购,开放赎回,213008,2021-04-22
8,2.4286,3.4379,0.61%,开放申购,开放赎回,213008,2021-04-21
9,2.4138,3.4218,1.97%,开放申购,开放赎回,213008,2021-04-20
10,2.3671,3.3710,2.57%,开放申购,开放赎回,213008,2021-04-19
12,2.3079,3.3066,1.08%,开放申购,开放赎回,213008,2021-04-16
13,2.2833,3.2798,-0.63%,开放申购,开放赎回,213008,2021-04-15
14,2.2977,3.2955,0.66%,开放申购,开放赎回,213008,2021-04-14
15,2.2826,3.2791,0.63%,开放申购,开放赎回,213008,2021-04-13
16,2.2683,3.2635,-1.43%,开放申购,开放赎回,213008,2021-04-12
17,2.3011,3.2992,-1.57%,开放申购,开放赎回,213008,2021-04-09
18,2.3378,3.3391,1.75%,开放申购,开放赎回,213008,2021-04-08
19,2.2975,3.2953,-1.84%,开放申购,开放赎回,213008,2021-04-07
20,2.3406,3.3422,0.67%,开放申购,开放赎回,213008,2021-04-06
21,2.3251,3.3253,3.10%,开放申购,开放赎回,213008,2021-04-02
23,2.2552,3.2493,1.97%,开放申购,开放赎回,213008,2021-04-01
24,2.2116,3.2018,-1.49%,开放申购,开放赎回,213008,2021-03-31
25,2.2451,3.2383,0.90%,开放申购,开放赎回,213008,2021-03-30
26,2.2251,3.2165,1.44%,开放申购,开放赎回,213008,2021-03-29
27,2.1936,3.1823,2.69%,开放申购,开放赎回,213008,2021-03-26
28,2.1361,3.1197,-0.65%,开放申购,开放赎回,213008,2021-03-25
29,2.1501,3.1349,-0.44%,开放申购,开放赎回,213008,2021-03-24
30,2.1595,3.1452,-0.54%,开放申购,开放赎回,213008,2021-03-23
31,2.1713,3.1580,0.43%,开放申购,开放赎回,213008,2021-03-22
32,2.1620,3.1479,-2.60%,开放申购,开放赎回,213008,2021-03-19
34,2.2198,3.2108,1.50%,开放申购,开放赎回,213008,2021-03-18
35,2.1870,3.1751,3.22%,开放申购,开放赎回,213008,2021-03-17
36,2.1187,3.1008,1.27%,开放申购,开放赎回,213008,2021-03-16
37,2.0922,3.0720,-4.13%,开放申购,开放赎回,213008,2021-03-15
38,2.1823,3.1700,0.15%,开放申购,开放赎回,213008,2021-03-12
39,2.1791,3.1665,2.60%,开放申购,开放赎回,213008,2021-03-11
40,2.1238,3.1063,2.49%,开放申购,开放赎回,213008,2021-03-10
41,2.0722,3.0502,-3.11%,开放申购,开放赎回,213008,2021-03-09
42,2.1387,3.1225,-6.59%,开放申购,开放赎回,213008,2021-03-08
43,2.2897,3.2868,1.41%,开放申购,开放赎回,213008,2021-03-05
45,2.2578,3.2521,-3.72%,开放申购,开放赎回,213008,2021-03-04
46,2.3450,3.3469,1.69%,开放申购,开放赎回,213008,2021-03-03
47,2.3060,3.3045,-1.52%,开放申购,开放赎回,213008,2021-03-02
48,2.3415,3.3431,0.94%,开放申购,开放赎回,213008,2021-03-01
49,2.3196,3.3193,-2.84%,开放申购,开放赎回,213008,2021-02-26
50,2.3873,3.3930,-0.91%,开放申购,开放赎回,213008,2021-02-25
51,2.4092,3.4168,-3.81%,开放申购,开放赎回,213008,2021-02-24
52,2.5045,3.5204,0.15%,开放申购,开放赎回,213008,2021-02-23
53,2.5008,3.5164,-4.87%,开放申购,开放赎回,213008,2021-02-22
