,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,0.6538,2.6270%,限制大额申购,开放赎回,,004373,2021-04-30
2,0.6336,2.6190%,限制大额申购,开放赎回,,004373,2021-04-29
3,0.6569,2.6180%,限制大额申购,开放赎回,,004373,2021-04-28
4,0.6535,2.6030%,限制大额申购,开放赎回,,004373,2021-04-27
5,1.0925,2.5860%,限制大额申购,开放赎回,,004373,2021-04-26
6,0.6410,2.3320%,限制大额申购,开放赎回,,004373,2021-04-25
7,0.6410,2.3180%,限制大额申购,开放赎回,,004373,2021-04-24
8,0.6405,2.3030%,限制大额申购,开放赎回,,004373,2021-04-23
9,0.6314,2.3520%,限制大额申购,开放赎回,,004373,2021-04-22
10,0.6281,2.3520%,限制大额申购,开放赎回,,004373,2021-04-21
12,0.6213,2.3450%,限制大额申购,开放赎回,,004373,2021-04-20
13,0.6173,2.3400%,限制大额申购,开放赎回,,004373,2021-04-19
14,0.6145,2.4910%,限制大额申购,开放赎回,,004373,2021-04-18
15,0.6145,2.4850%,限制大额申购,开放赎回,,004373,2021-04-17
16,0.7310,2.4810%,限制大额申购,开放赎回,,004373,2021-04-16
17,0.6324,2.4930%,限制大额申购,开放赎回,,004373,2021-04-15
18,0.6153,2.4830%,限制大额申购,开放赎回,,004373,2021-04-14
19,0.6116,2.4900%,限制大额申购,开放赎回,,004373,2021-04-13
20,0.9002,2.5020%,限制大额申购,开放赎回,,004373,2021-04-12
21,0.6020,2.3680%,限制大额申购,开放赎回,,004373,2021-04-11
23,0.6084,2.3930%,限制大额申购,开放赎回,,004373,2021-04-10
24,0.7529,2.4150%,限制大额申购,开放赎回,,004373,2021-04-09
25,0.6142,2.5690%,限制大额申购,开放赎回,,004373,2021-04-08
26,0.6277,2.5970%,限制大额申购,开放赎回,,004373,2021-04-07
27,0.6350,2.6240%,限制大额申购,开放赎回,,004373,2021-04-06
28,0.6489,2.7150%,限制大额申购,开放赎回,,004373,2021-04-05
29,0.6489,2.7290%,限制大额申购,开放赎回,,004373,2021-04-04
30,0.6489,2.7380%,限制大额申购,开放赎回,,004373,2021-04-03
31,1.0409,2.7470%,限制大额申购,开放赎回,,004373,2021-04-02
32,0.6669,2.5500%,限制大额申购,开放赎回,,004373,2021-04-01
34,0.6772,2.5460%,限制大额申购,开放赎回,,004373,2021-03-31
35,0.8067,2.5370%,限制大额申购,开放赎回,,004373,2021-03-30
36,0.6739,2.5850%,限制大额申购,开放赎回,,004373,2021-03-29
37,0.6661,2.6520%,限制大额申购,开放赎回,,004373,2021-03-28
38,0.6661,2.6310%,限制大额申购,开放赎回,,004373,2021-03-27
39,0.6731,2.6200%,限制大额申购,开放赎回,,004373,2021-03-26
40,0.6587,2.6060%,限制大额申购,开放赎回,,004373,2021-03-25
41,0.6610,2.6670%,限制大额申购,开放赎回,,004373,2021-03-24
42,0.8956,2.6590%,限制大额申购,开放赎回,,004373,2021-03-23
43,0.7993,2.5300%,限制大额申购,开放赎回,,004373,2021-03-22
45,0.6275,2.4540%,限制大额申购,开放赎回,,004373,2021-03-21
46,0.6453,2.4700%,限制大额申购,开放赎回,,004373,2021-03-20
47,0.6467,2.4770%,限制大额申购,开放赎回,,004373,2021-03-19
48,0.7724,2.4840%,限制大额申购,开放赎回,,004373,2021-03-18
49,0.6454,2.4520%,限制大额申购,开放赎回,,004373,2021-03-17
50,0.6547,2.4580%,限制大额申购,开放赎回,,004373,2021-03-16
51,0.6570,2.4520%,限制大额申购,开放赎回,,004373,2021-03-15
52,0.6586,2.4440%,限制大额申购,开放赎回,,004373,2021-03-14
53,0.6586,2.4470%,限制大额申购,开放赎回,,004373,2021-03-13
54,0.6582,2.4510%,限制大额申购,开放赎回,,004373,2021-03-12
56,0.7135,2.4540%,限制大额申购,开放赎回,,004373,2021-03-11
57,0.6572,2.4240%,限制大额申购,开放赎回,,004373,2021-03-10
58,0.6430,2.4240%,限制大额申购,开放赎回,,004373,2021-03-09
59,0.6412,2.4310%,限制大额申购,开放赎回,,004373,2021-03-08
60,0.6653,2.4400%,限制大额申购,开放赎回,,004373,2021-03-07
