,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.4254,1.4254,-0.07%,开放申购,开放赎回,007678,2021-04-30
2,1.4264,1.4264,-0.36%,开放申购,开放赎回,007678,2021-04-29
3,1.4315,1.4315,0.14%,开放申购,开放赎回,007678,2021-04-28
4,1.4295,1.4295,0.41%,开放申购,开放赎回,007678,2021-04-27
5,1.4236,1.4236,-0.34%,开放申购,开放赎回,007678,2021-04-26
6,1.4285,1.4285,0.45%,开放申购,开放赎回,007678,2021-04-23
7,1.4221,1.4221,0.31%,开放申购,开放赎回,007678,2021-04-22
8,1.4177,1.4177,0.30%,开放申购,开放赎回,007678,2021-04-21
9,1.4134,1.4134,0.40%,开放申购,开放赎回,007678,2021-04-20
10,1.4077,1.4077,1.61%,开放申购,开放赎回,007678,2021-04-19
12,1.3854,1.3854,0.52%,开放申购,开放赎回,007678,2021-04-16
13,1.3783,1.3783,-1.28%,开放申购,开放赎回,007678,2021-04-15
14,1.3962,1.3962,1.23%,开放申购,开放赎回,007678,2021-04-14
15,1.3792,1.3792,-0.42%,开放申购,开放赎回,007678,2021-04-13
16,1.3850,1.3850,-2.25%,开放申购,开放赎回,007678,2021-04-12
17,1.4169,1.4169,-1.83%,开放申购,开放赎回,007678,2021-04-09
18,1.4433,1.4433,0.15%,开放申购,开放赎回,007678,2021-04-08
19,1.4412,1.4412,0.01%,开放申购,开放赎回,007678,2021-04-07
20,1.4410,1.4410,-0.65%,开放申购,开放赎回,007678,2021-04-06
21,1.4504,1.4504,0.71%,开放申购,开放赎回,007678,2021-04-02
23,1.4402,1.4402,1.39%,开放申购,开放赎回,007678,2021-04-01
24,1.4204,1.4204,-1.69%,开放申购,开放赎回,007678,2021-03-31
25,1.4448,1.4448,1.11%,开放申购,开放赎回,007678,2021-03-30
26,1.4290,1.4290,0.64%,开放申购,开放赎回,007678,2021-03-29
27,1.4199,1.4199,2.14%,开放申购,开放赎回,007678,2021-03-26
28,1.3902,1.3902,0.04%,开放申购,开放赎回,007678,2021-03-25
29,1.3896,1.3896,-3.81%,开放申购,开放赎回,007678,2021-03-24
30,1.4447,1.4447,-2.51%,开放申购,开放赎回,007678,2021-03-23
31,1.4819,1.4819,0.80%,开放申购,开放赎回,007678,2021-03-22
32,1.4702,1.4702,-2.89%,开放申购,开放赎回,007678,2021-03-19
34,1.5140,1.5140,1.24%,开放申购,开放赎回,007678,2021-03-18
35,1.4955,1.4955,0.25%,开放申购,开放赎回,007678,2021-03-17
36,1.4918,1.4918,1.00%,开放申购,开放赎回,007678,2021-03-16
37,1.4771,1.4771,-3.52%,开放申购,开放赎回,007678,2021-03-15
38,1.5310,1.5310,0.18%,开放申购,开放赎回,007678,2021-03-12
39,1.5283,1.5283,3.59%,开放申购,开放赎回,007678,2021-03-11
40,1.4753,1.4753,2.42%,开放申购,开放赎回,007678,2021-03-10
41,1.4404,1.4404,-2.36%,开放申购,开放赎回,007678,2021-03-09
42,1.4752,1.4752,-4.44%,开放申购,开放赎回,007678,2021-03-08
43,1.5438,1.5438,-0.57%,开放申购,开放赎回,007678,2021-03-05
45,1.5527,1.5527,-5.21%,开放申购,开放赎回,007678,2021-03-04
46,1.6380,1.6380,1.23%,开放申购,开放赎回,007678,2021-03-03
47,1.6181,1.6181,-2.36%,开放申购,开放赎回,007678,2021-03-02
48,1.6572,1.6572,2.41%,开放申购,开放赎回,007678,2021-03-01
49,1.6182,1.6182,-2.80%,开放申购,开放赎回,007678,2021-02-26
50,1.6648,1.6648,-0.08%,开放申购,开放赎回,007678,2021-02-25
51,1.6662,1.6662,-4.81%,开放申购,开放赎回,007678,2021-02-24
52,1.7504,1.7504,-1.37%,开放申购,开放赎回,007678,2021-02-23
53,1.7748,1.7748,-3.44%,开放申购,开放赎回,007678,2021-02-22
54,1.8381,1.8381,-2.24%,开放申购,开放赎回,007678,2021-02-19
56,1.8802,1.8802,0.13%,开放申购,开放赎回,007678,2021-02-18
57,1.8778,1.8778,2.66%,开放申购,开放赎回,007678,2021-02-10
58,1.8291,1.8291,2.86%,开放申购,开放赎回,007678,2021-02-09
59,1.7783,1.7783,4.03%,开放申购,开放赎回,007678,2021-02-08
60,1.7094,1.7094,-1.24%,开放申购,开放赎回,007678,2021-02-05
61,1.7308,1.7308,-0.08%,开放申购,开放赎回,007678,2021-02-04
62,1.7322,1.7322,-0.06%,开放申购,开放赎回,007678,2021-02-03
63,1.7332,1.7332,2.70%,开放申购,开放赎回,007678,2021-02-02
64,1.6877,1.6877,2.70%,开放申购,开放赎回,007678,2021-02-01
65,1.6434,1.6434,-0.33%,开放申购,开放赎回,007678,2021-01-29
67,1.6489,1.6489,-4.02%,开放申购,开放赎回,007678,2021-01-28
68,1.7180,1.7180,0.56%,开放申购,开放赎回,007678,2021-01-27
69,1.7085,1.7085,-2.78%,开放申购,开放赎回,007678,2021-01-26
70,1.7573,1.7573,1.41%,开放申购,开放赎回,007678,2021-01-25
71,1.7329,1.7329,1.22%,开放申购,开放赎回,007678,2021-01-22
72,1.7120,1.7120,3.47%,开放申购,开放赎回,007678,2021-01-21
73,1.6546,1.6546,2.34%,开放申购,开放赎回,007678,2021-01-20
74,1.6167,1.6167,-2.04%,开放申购,开放赎回,007678,2021-01-19
75,1.6504,1.6504,1.58%,开放申购,开放赎回,007678,2021-01-18
76,1.6248,1.6248,-0.72%,开放申购,开放赎回,007678,2021-01-15
78,1.6366,1.6366,-3.08%,开放申购,开放赎回,007678,2021-01-14
79,1.6886,1.6886,-1.87%,开放申购,开放赎回,007678,2021-01-13
80,1.7207,1.7207,1.82%,开放申购,开放赎回,007678,2021-01-12
81,1.6900,1.6900,-1.07%,开放申购,开放赎回,007678,2021-01-11
82,1.7082,1.7082,-0.92%,开放申购,开放赎回,007678,2021-01-08
83,1.7240,1.7240,3.78%,开放申购,开放赎回,007678,2021-01-07
84,1.6612,1.6612,0.78%,开放申购,开放赎回,007678,2021-01-06
85,1.6484,1.6484,2.46%,开放申购,开放赎回,007678,2021-01-05
86,1.6089,1.6089,2.65%,开放申购,开放赎回,007678,2021-01-04
