,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,0.8701,0.8701,-1.59%,暂停申购,暂停赎回,517200,2021-04-30
2,0.8842,0.8842,-0.21%,暂停申购,暂停赎回,517200,2021-04-29
3,0.8861,0.8861,-0.44%,场内买入,场内卖出,517200,2021-04-28
4,0.8900,0.8900,0.09%,场内买入,场内卖出,517200,2021-04-27
5,0.8892,0.8892,-0.94%,场内买入,场内卖出,517200,2021-04-26
6,0.8976,0.8976,1.56%,场内买入,场内卖出,517200,2021-04-23
7,0.8838,0.8838,0.63%,场内买入,场内卖出,517200,2021-04-22
8,0.8783,0.8783,-0.95%,场内买入,场内卖出,517200,2021-04-21
9,0.8867,0.8867,0.07%,场内买入,场内卖出,517200,2021-04-20
10,0.8861,0.8861,2.16%,场内买入,场内卖出,517200,2021-04-19
12,0.8674,0.8674,0.80%,场内买入,场内卖出,517200,2021-04-16
13,0.8605,0.8605,-0.22%,场内买入,场内卖出,517200,2021-04-15
14,0.8624,0.8624,2.28%,场内买入,场内卖出,517200,2021-04-14
15,0.8432,0.8432,-1.10%,场内买入,场内卖出,517200,2021-04-13
16,0.8526,0.8526,-2.63%,场内买入,场内卖出,517200,2021-04-12
17,0.8756,0.8756,-1.13%,场内买入,场内卖出,517200,2021-04-09
18,0.8856,0.8856,-0.08%,场内买入,场内卖出,517200,2021-04-08
19,0.8863,0.8863,-1.50%,场内买入,场内卖出,517200,2021-04-07
20,0.8998,0.8998,0.49%,暂停申购,暂停赎回,517200,2021-04-06
21,0.8954,0.8954,0.32%,暂停申购,暂停赎回,517200,2021-04-02
23,0.8925,0.8925,3.55%,场内买入,场内卖出,517200,2021-04-01
24,0.8619,0.8619,0.08%,场内买入,场内卖出,517200,2021-03-31
25,0.8612,0.8612,1.48%,场内买入,场内卖出,517200,2021-03-30
26,0.8486,0.8486,-1.73%,场内买入,场内卖出,517200,2021-03-29
27,0.8635,0.8635,2.69%,场内买入,场内卖出,517200,2021-03-26
28,0.8409,0.8409,-0.69%,场内买入,场内卖出,517200,2021-03-25
29,0.8467,0.8467,-1.01%,场内买入,场内卖出,517200,2021-03-24
30,0.8553,0.8553,-1.89%,场内买入,场内卖出,517200,2021-03-23
31,0.8718,0.8718,0.75%,场内买入,场内卖出,517200,2021-03-22
32,0.8653,0.8653,-1.60%,场内买入,场内卖出,517200,2021-03-19
34,0.8794,0.8794,0.69%,场内买入,场内卖出,517200,2021-03-18
35,0.8734,0.8734,0.30%,场内买入,场内卖出,517200,2021-03-17
36,0.8708,0.8708,1.94%,场内买入,场内卖出,517200,2021-03-16
37,0.8542,0.8542,-1.75%,场内买入,场内卖出,517200,2021-03-15
38,0.8694,0.8694,-1.63%,场内买入,场内卖出,517200,2021-03-12
39,0.8838,0.8838,2.96%,场内买入,场内卖出,517200,2021-03-11
40,0.8584,0.8584,0.40%,场内买入,场内卖出,517200,2021-03-10
41,0.8550,0.8550,-1.17%,场内买入,场内卖出,517200,2021-03-09
42,0.8651,0.8651,-4.84%,场内买入,场内卖出,517200,2021-03-08
43,0.9091,0.9091,-0.37%,场内买入,场内卖出,517200,2021-03-05
45,0.9125,0.9125,-4.36%,场内买入,场内卖出,517200,2021-03-04
46,0.9541,0.9541,1.54%,场内买入,场内卖出,517200,2021-03-03
47,0.9396,0.9396,-1.13%,场内买入,场内卖出,517200,2021-03-02
48,0.9503,0.9503,3.76%,场内买入,场内卖出,517200,2021-03-01
49,0.9159,0.9159,-3.59%,场内买入,场内卖出,517200,2021-02-26
50,0.9500,0.9500,-0.70%,场内买入,场内卖出,517200,2021-02-25
51,0.9567,0.9567,-3.43%,场内买入,场内卖出,517200,2021-02-24
52,0.9907,0.9907,-0.80%,场内买入,场内卖出,517200,2021-02-23
53,0.9987,0.9987,-4.47%,场内买入,场内卖出,517200,2021-02-22
54,1.0454,1.0454,0.81%,场内买入,场内卖出,517200,2021-02-19
56,1.0370,1.0370,0.94%,场内买入,场内卖出,517200,2021-02-18
57,1.0273,1.0273,2.31%,暂停申购,暂停赎回,517200,2021-02-10
58,1.0041,1.0041,1.96%,暂停申购,暂停赎回,517200,2021-02-09
59,0.9848,0.9848,0.63%,场内买入,场内卖出,517200,2021-02-08
60,0.9786,0.9786,,场内买入,场内卖出,517200,2021-02-05
61,1.0014,,1.33%,场内买入,场内卖出,517200,2021-02-01
62,0.9883,0.9883,,场内买入,场内卖出,517200,2021-01-29
63,1.0000,1.0000,,场内买入,场内卖出,517200,2021-01-25
