,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0145,1.0645,-0.97%,开放申购,开放赎回,009778,2021-04-30
2,1.0244,1.0744,0.20%,开放申购,开放赎回,009778,2021-04-29
3,1.0224,1.0724,1.67%,开放申购,开放赎回,009778,2021-04-28
4,1.0056,1.0556,1.12%,开放申购,开放赎回,009778,2021-04-27
5,0.9945,1.0445,-1.17%,开放申购,开放赎回,009778,2021-04-26
6,1.0063,1.0563,1.85%,开放申购,开放赎回,009778,2021-04-23
7,0.9880,1.0380,0.41%,开放申购,开放赎回,009778,2021-04-22
8,0.9840,1.0340,0.41%,开放申购,开放赎回,009778,2021-04-21
9,0.9800,1.0300,1.41%,开放申购,开放赎回,009778,2021-04-20
10,0.9664,1.0164,1.46%,开放申购,开放赎回,009778,2021-04-19
12,0.9525,1.0025,1.14%,开放申购,开放赎回,009778,2021-04-16
13,0.9418,0.9918,-0.83%,开放申购,开放赎回,009778,2021-04-15
14,0.9497,0.9997,1.57%,开放申购,开放赎回,009778,2021-04-14
15,0.9350,0.9850,0.84%,开放申购,开放赎回,009778,2021-04-13
16,0.9272,0.9772,-1.62%,开放申购,开放赎回,009778,2021-04-12
17,0.9425,0.9925,-2.04%,开放申购,开放赎回,009778,2021-04-09
18,0.9621,1.0121,1.57%,开放申购,开放赎回,009778,2021-04-08
19,0.9472,0.9972,-2.03%,开放申购,开放赎回,009778,2021-04-07
20,0.9668,1.0168,-1.24%,开放申购,开放赎回,009778,2021-04-06
21,0.9789,1.0289,1.62%,开放申购,开放赎回,009778,2021-04-02
23,0.9633,1.0133,2.94%,开放申购,开放赎回,009778,2021-04-01
24,0.9358,0.9858,-1.72%,开放申购,开放赎回,009778,2021-03-31
25,0.9522,1.0022,2.03%,开放申购,开放赎回,009778,2021-03-30
26,0.9333,0.9833,0.09%,开放申购,开放赎回,009778,2021-03-29
27,0.9325,0.9825,3.04%,开放申购,开放赎回,009778,2021-03-26
28,0.9050,0.9550,0.75%,开放申购,开放赎回,009778,2021-03-25
29,0.8983,0.9483,-0.33%,开放申购,开放赎回,009778,2021-03-24
30,0.9013,0.9513,-2.09%,开放申购,开放赎回,009778,2021-03-23
31,0.9205,0.9705,0.04%,开放申购,开放赎回,009778,2021-03-22
32,0.9201,0.9701,-2.58%,开放申购,开放赎回,009778,2021-03-19
34,0.9445,0.9945,2.06%,开放申购,开放赎回,009778,2021-03-18
35,0.9254,0.9754,0.85%,开放申购,开放赎回,009778,2021-03-17
36,0.9176,0.9676,2.09%,开放申购,开放赎回,009778,2021-03-16
37,0.8988,0.9488,-3.63%,开放申购,开放赎回,009778,2021-03-15
38,0.9327,0.9827,-0.54%,开放申购,开放赎回,009778,2021-03-12
39,0.9378,0.9878,2.99%,开放申购,开放赎回,009778,2021-03-11
40,0.9106,0.9606,3.07%,开放申购,开放赎回,009778,2021-03-10
41,0.8835,0.9335,-0.94%,开放申购,开放赎回,009778,2021-03-09
42,0.8919,0.9419,-6.93%,开放申购,开放赎回,009778,2021-03-08
43,0.9583,1.0083,-0.69%,开放申购,开放赎回,009778,2021-03-05
45,0.9650,1.0150,-5.53%,开放申购,开放赎回,009778,2021-03-04
46,1.0215,1.0715,1.65%,开放申购,开放赎回,009778,2021-03-03
47,1.0049,1.0549,-2.22%,开放申购,开放赎回,009778,2021-03-02
48,1.0277,1.0777,1.50%,开放申购,开放赎回,009778,2021-03-01
49,1.0125,1.0625,-4.44%,开放申购,开放赎回,009778,2021-02-26
50,1.0595,1.1095,-0.06%,开放申购,开放赎回,009778,2021-02-25
51,1.0601,1.1101,-4.34%,开放申购,开放赎回,009778,2021-02-24
52,1.1082,1.1582,-0.45%,开放申购,开放赎回,009778,2021-02-23
53,1.1132,1.1632,-5.21%,开放申购,开放赎回,009778,2021-02-22
54,1.1744,1.2244,-0.68%,开放申购,开放赎回,009778,2021-02-19
56,1.1825,1.2325,-2.67%,开放申购,开放赎回,009778,2021-02-18
57,1.2150,1.2650,2.01%,开放申购,开放赎回,009778,2021-02-10
58,1.1911,1.2411,1.77%,开放申购,开放赎回,009778,2021-02-09
59,1.1704,1.2204,0.86%,开放申购,开放赎回,009778,2021-02-08
