,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,2.8566,2.9066,0.07%,开放申购,开放赎回,002771,2021-04-30
2,2.8545,2.9045,0.06%,开放申购,开放赎回,002771,2021-04-29
3,2.8529,2.9029,1.58%,开放申购,开放赎回,002771,2021-04-28
4,2.8084,2.8584,0.30%,开放申购,开放赎回,002771,2021-04-27
5,2.8000,2.8500,-0.67%,开放申购,开放赎回,002771,2021-04-26
6,2.8189,2.8689,0.80%,开放申购,开放赎回,002771,2021-04-23
7,2.7966,2.8466,0.28%,开放申购,开放赎回,002771,2021-04-22
8,2.7889,2.8389,0.46%,开放申购,开放赎回,002771,2021-04-21
9,2.7760,2.8260,0.66%,开放申购,开放赎回,002771,2021-04-20
10,2.7579,2.8079,2.63%,开放申购,开放赎回,002771,2021-04-19
12,2.6872,2.7372,0.20%,开放申购,开放赎回,002771,2021-04-16
13,2.6818,2.7318,-1.03%,开放申购,开放赎回,002771,2021-04-15
14,2.7096,2.7596,1.64%,开放申购,开放赎回,002771,2021-04-14
15,2.6660,2.7160,0.08%,开放申购,开放赎回,002771,2021-04-13
16,2.6638,2.7138,-2.55%,开放申购,开放赎回,002771,2021-04-12
17,2.7336,2.7836,-0.84%,开放申购,开放赎回,002771,2021-04-09
18,2.7568,2.8068,0.72%,开放申购,开放赎回,002771,2021-04-08
19,2.7372,2.7872,-1.03%,开放申购,开放赎回,002771,2021-04-07
20,2.7657,2.8157,-0.17%,开放申购,开放赎回,002771,2021-04-06
21,2.7703,2.8203,1.64%,开放申购,开放赎回,002771,2021-04-02
23,2.7257,2.7757,1.93%,开放申购,开放赎回,002771,2021-04-01
24,2.6742,2.7242,-0.36%,开放申购,开放赎回,002771,2021-03-31
25,2.6839,2.7339,0.53%,开放申购,开放赎回,002771,2021-03-30
26,2.6697,2.7197,-0.30%,开放申购,开放赎回,002771,2021-03-29
27,2.6778,2.7278,2.52%,开放申购,开放赎回,002771,2021-03-26
28,2.6119,2.6619,0.20%,开放申购,开放赎回,002771,2021-03-25
29,2.6067,2.6567,-0.72%,开放申购,开放赎回,002771,2021-03-24
30,2.6256,2.6756,-0.70%,开放申购,开放赎回,002771,2021-03-23
31,2.6442,2.6942,0.50%,开放申购,开放赎回,002771,2021-03-22
