,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.7280,1.7820,-0.17%,开放申购,开放赎回,630107,2021-04-30
2,1.7310,1.7850,0.17%,开放申购,开放赎回,630107,2021-04-29
3,1.7280,1.7820,0.12%,开放申购,开放赎回,630107,2021-04-28
4,1.7260,1.7800,0.06%,开放申购,开放赎回,630107,2021-04-27
5,1.7250,1.7790,-0.06%,开放申购,开放赎回,630107,2021-04-26
6,1.7260,1.7800,0.06%,开放申购,开放赎回,630107,2021-04-23
7,1.7250,1.7790,-0.06%,开放申购,开放赎回,630107,2021-04-22
8,1.7260,1.7800,-0.06%,开放申购,开放赎回,630107,2021-04-21
9,1.7270,1.7810,0.06%,开放申购,开放赎回,630107,2021-04-20
10,1.7260,1.7800,0.47%,开放申购,开放赎回,630107,2021-04-19
12,1.7180,1.7720,0.23%,开放申购,开放赎回,630107,2021-04-16
13,1.7140,1.7680,0.18%,开放申购,开放赎回,630107,2021-04-15
14,1.7110,1.7650,0.23%,开放申购,开放赎回,630107,2021-04-14
15,1.7070,1.7610,0.00%,开放申购,开放赎回,630107,2021-04-13
16,1.7070,1.7610,-0.81%,开放申购,开放赎回,630107,2021-04-12
17,1.7210,1.7750,-0.06%,开放申购,开放赎回,630107,2021-04-09
18,1.7220,1.7760,0.12%,开放申购,开放赎回,630107,2021-04-08
19,1.7200,1.7740,0.29%,开放申购,开放赎回,630107,2021-04-07
20,1.7150,1.7690,0.18%,开放申购,开放赎回,630107,2021-04-06
21,1.7120,1.7660,0.06%,开放申购,开放赎回,630107,2021-04-02
23,1.7110,1.7650,0.29%,开放申购,开放赎回,630107,2021-04-01
24,1.7060,1.7600,-0.29%,开放申购,开放赎回,630107,2021-03-31
25,1.7110,1.7650,0.12%,开放申购,开放赎回,630107,2021-03-30
26,1.7090,1.7630,0.41%,开放申购,开放赎回,630107,2021-03-29
27,1.7020,1.7560,0.35%,开放申购,开放赎回,630107,2021-03-26
28,1.6960,1.7500,0.12%,开放申购,开放赎回,630107,2021-03-25
29,1.6940,1.7480,-0.82%,开放申购,开放赎回,630107,2021-03-24
30,1.7080,1.7620,-0.76%,开放申购,开放赎回,630107,2021-03-23
31,1.7210,1.7750,0.35%,开放申购,开放赎回,630107,2021-03-22
32,1.7150,1.7690,-0.64%,开放申购,开放赎回,630107,2021-03-19
34,1.7260,1.7800,0.23%,开放申购,开放赎回,630107,2021-03-18
35,1.7220,1.7760,-0.06%,开放申购,开放赎回,630107,2021-03-17
36,1.7230,1.7770,0.06%,开放申购,开放赎回,630107,2021-03-16
37,1.7220,1.7760,0.00%,开放申购,开放赎回,630107,2021-03-15
38,1.7220,1.7760,0.29%,开放申购,开放赎回,630107,2021-03-12
39,1.7170,1.7710,0.94%,开放申购,开放赎回,630107,2021-03-11
40,1.7010,1.7550,0.06%,开放申购,开放赎回,630107,2021-03-10
41,1.7000,1.7540,-0.58%,开放申购,开放赎回,630107,2021-03-09
42,1.7100,1.7640,-0.18%,开放申购,开放赎回,630107,2021-03-08
43,1.7130,1.7670,-0.58%,开放申购,开放赎回,630107,2021-03-05
45,1.7230,1.7770,-0.46%,开放申购,开放赎回,630107,2021-03-04
46,1.7310,1.7850,0.82%,开放申购,开放赎回,630107,2021-03-03
47,1.7170,1.7710,-0.58%,开放申购,开放赎回,630107,2021-03-02
48,1.7270,1.7810,0.41%,开放申购,开放赎回,630107,2021-03-01
49,1.7200,1.7740,-0.92%,开放申购,开放赎回,630107,2021-02-26
50,1.7360,1.7900,0.23%,开放申购,开放赎回,630107,2021-02-25
51,1.7320,1.7860,-0.57%,开放申购,开放赎回,630107,2021-02-24
52,1.7420,1.7960,-0.06%,开放申购,开放赎回,630107,2021-02-23
53,1.7430,1.7970,0.11%,开放申购,开放赎回,630107,2021-02-22
54,1.7410,1.7950,0.35%,开放申购,开放赎回,630107,2021-02-19
56,1.7350,1.7890,0.58%,开放申购,开放赎回,630107,2021-02-18
57,1.7250,1.7790,0.35%,开放申购,开放赎回,630107,2021-02-10
58,1.7190,1.7730,0.64%,开放申购,开放赎回,630107,2021-02-09
59,1.7080,1.7620,0.83%,开放申购,开放赎回,630107,2021-02-08
60,1.6940,1.7480,-0.35%,开放申购,开放赎回,630107,2021-02-05
61,1.7000,1.7540,0.00%,开放申购,开放赎回,630107,2021-02-04
62,1.7000,1.7540,-0.12%,开放申购,开放赎回,630107,2021-02-03
63,1.7020,1.7560,0.18%,开放申购,开放赎回,630107,2021-02-02
64,1.6990,1.7530,0.53%,开放申购,开放赎回,630107,2021-02-01
65,1.6900,1.7440,-0.35%,开放申购,开放赎回,630107,2021-01-29
67,1.6960,1.7500,-0.53%,开放申购,开放赎回,630107,2021-01-28
68,1.7050,1.7590,0.00%,开放申购,开放赎回,630107,2021-01-27
69,1.7050,1.7590,-0.41%,开放申购,开放赎回,630107,2021-01-26
70,1.7120,1.7660,0.23%,开放申购,开放赎回,630107,2021-01-25
71,1.7080,1.7620,-0.12%,开放申购,开放赎回,630107,2021-01-22
72,1.7100,1.7640,0.18%,开放申购,开放赎回,630107,2021-01-21
73,1.7070,1.7610,0.06%,开放申购,开放赎回,630107,2021-01-20
74,1.7060,1.7600,-0.29%,开放申购,开放赎回,630107,2021-01-19
75,1.7110,1.7650,0.41%,开放申购,开放赎回,630107,2021-01-18
76,1.7040,1.7580,-0.23%,开放申购,开放赎回,630107,2021-01-15
78,1.7080,1.7620,-0.29%,开放申购,开放赎回,630107,2021-01-14
79,1.7130,1.7670,0.12%,开放申购,开放赎回,630107,2021-01-13
80,1.7110,1.7650,0.59%,开放申购,开放赎回,630107,2021-01-12
81,1.7010,1.7550,0.00%,开放申购,开放赎回,630107,2021-01-11
82,1.7010,1.7550,0.06%,开放申购,开放赎回,630107,2021-01-08
83,1.7000,1.7540,0.41%,开放申购,开放赎回,630107,2021-01-07
84,1.6930,1.7470,0.06%,开放申购,开放赎回,630107,2021-01-06
85,1.6920,1.7460,0.30%,开放申购,开放赎回,630107,2021-01-05
86,1.6870,1.7410,0.42%,开放申购,开放赎回,630107,2021-01-04
