,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0733,1.0733,0.13%,开放申购,开放赎回,004647,2021-04-30
2,1.0719,1.0719,-0.02%,开放申购,开放赎回,004647,2021-04-29
3,1.0721,1.0721,0.05%,开放申购,开放赎回,004647,2021-04-28
4,1.0716,1.0716,0.00%,开放申购,开放赎回,004647,2021-04-27
5,1.0716,1.0716,-0.01%,开放申购,开放赎回,004647,2021-04-26
6,1.0717,1.0717,0.07%,开放申购,开放赎回,004647,2021-04-23
7,1.0710,1.0710,0.06%,开放申购,开放赎回,004647,2021-04-22
8,1.0704,1.0704,0.04%,开放申购,开放赎回,004647,2021-04-21
9,1.0700,1.0700,0.01%,开放申购,开放赎回,004647,2021-04-20
10,1.0699,1.0699,0.29%,开放申购,开放赎回,004647,2021-04-19
12,1.0668,1.0668,0.02%,开放申购,开放赎回,004647,2021-04-16
13,1.0666,1.0666,0.04%,开放申购,开放赎回,004647,2021-04-15
14,1.0662,1.0662,0.12%,开放申购,开放赎回,004647,2021-04-14
15,1.0649,1.0649,0.03%,开放申购,开放赎回,004647,2021-04-13
16,1.0646,1.0646,-0.23%,开放申购,开放赎回,004647,2021-04-12
17,1.0671,1.0671,-0.06%,开放申购,开放赎回,004647,2021-04-09
18,1.0677,1.0677,0.01%,开放申购,开放赎回,004647,2021-04-08
19,1.0676,1.0676,-0.03%,开放申购,开放赎回,004647,2021-04-07
20,1.0679,1.0679,0.06%,开放申购,开放赎回,004647,2021-04-06
21,1.0673,1.0673,0.05%,开放申购,开放赎回,004647,2021-04-02
23,1.0668,1.0668,0.05%,开放申购,开放赎回,004647,2021-04-01
24,1.0663,1.0663,-0.01%,开放申购,开放赎回,004647,2021-03-31
25,1.0664,1.0664,0.06%,开放申购,开放赎回,004647,2021-03-30
26,1.0658,1.0658,0.06%,开放申购,开放赎回,004647,2021-03-29
27,1.0652,1.0652,0.08%,开放申购,开放赎回,004647,2021-03-26
28,1.0644,1.0644,0.01%,开放申购,开放赎回,004647,2021-03-25
29,1.0643,1.0643,0.01%,开放申购,开放赎回,004647,2021-03-24
30,1.0642,1.0642,0.01%,开放申购,开放赎回,004647,2021-03-23
31,1.0641,1.0641,0.10%,开放申购,开放赎回,004647,2021-03-22
32,1.0630,1.0630,0.01%,开放申购,开放赎回,004647,2021-03-19
34,1.0629,1.0629,0.02%,开放申购,开放赎回,004647,2021-03-18
35,1.0627,1.0627,-0.07%,开放申购,开放赎回,004647,2021-03-17
36,1.0634,1.0634,0.00%,开放申购,开放赎回,004647,2021-03-16
37,1.0634,1.0634,0.09%,开放申购,开放赎回,004647,2021-03-15
38,1.0624,1.0624,0.00%,开放申购,开放赎回,004647,2021-03-12
39,1.0624,1.0624,0.04%,开放申购,开放赎回,004647,2021-03-11
40,1.0620,1.0620,0.00%,开放申购,开放赎回,004647,2021-03-10
41,1.0620,1.0620,0.01%,开放申购,开放赎回,004647,2021-03-09
42,1.0619,1.0619,0.01%,开放申购,开放赎回,004647,2021-03-08
43,1.0618,1.0618,0.00%,开放申购,开放赎回,004647,2021-03-05
45,1.0618,1.0618,0.01%,开放申购,开放赎回,004647,2021-03-04
46,1.0617,1.0617,0.05%,开放申购,开放赎回,004647,2021-03-03
47,1.0612,1.0612,-0.02%,开放申购,开放赎回,004647,2021-03-02
48,1.0614,1.0614,-0.03%,开放申购,开放赎回,004647,2021-03-01
49,1.0617,1.0617,0.00%,开放申购,开放赎回,004647,2021-02-26
50,1.0617,1.0617,0.01%,开放申购,开放赎回,004647,2021-02-25
51,1.0616,1.0616,0.00%,开放申购,开放赎回,004647,2021-02-24
52,1.0616,1.0616,0.01%,开放申购,开放赎回,004647,2021-02-23
53,1.0615,1.0615,0.02%,开放申购,开放赎回,004647,2021-02-22
54,1.0613,1.0613,0.01%,开放申购,开放赎回,004647,2021-02-19
56,1.0612,1.0612,0.02%,开放申购,开放赎回,004647,2021-02-18
57,1.0610,1.0610,-0.08%,开放申购,开放赎回,004647,2021-02-10
58,1.0618,1.0618,0.01%,开放申购,开放赎回,004647,2021-02-09
59,1.0617,1.0617,0.06%,开放申购,开放赎回,004647,2021-02-08
60,1.0611,1.0611,-0.34%,开放申购,开放赎回,004647,2021-02-05
61,1.0647,1.0647,-0.18%,开放申购,开放赎回,004647,2021-02-04
62,1.0666,1.0666,-0.38%,开放申购,开放赎回,004647,2021-02-03
63,1.0707,1.0707,0.34%,开放申购,开放赎回,004647,2021-02-02
64,1.0671,1.0671,0.14%,开放申购,开放赎回,004647,2021-02-01
65,1.0656,1.0656,-0.54%,开放申购,开放赎回,004647,2021-01-29
67,1.0714,1.0714,-1.02%,开放申购,开放赎回,004647,2021-01-28
