,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,2.3711,2.3711,-1.05%,开放申购,开放赎回,005526,2021-04-30
2,2.3963,2.3963,0.34%,开放申购,开放赎回,005526,2021-04-29
3,2.3881,2.3881,1.29%,开放申购,开放赎回,005526,2021-04-28
4,2.3576,2.3576,0.90%,开放申购,开放赎回,005526,2021-04-27
5,2.3366,2.3366,-1.31%,开放申购,开放赎回,005526,2021-04-26
6,2.3675,2.3675,0.69%,开放申购,开放赎回,005526,2021-04-23
7,2.3512,2.3512,0.26%,开放申购,开放赎回,005526,2021-04-22
8,2.3450,2.3450,0.76%,开放申购,开放赎回,005526,2021-04-21
9,2.3274,2.3274,0.71%,开放申购,开放赎回,005526,2021-04-20
10,2.3111,2.3111,1.45%,开放申购,开放赎回,005526,2021-04-19
12,2.2781,2.2781,1.27%,开放申购,开放赎回,005526,2021-04-16
13,2.2496,2.2496,-0.68%,开放申购,开放赎回,005526,2021-04-15
14,2.2650,2.2650,1.51%,开放申购,开放赎回,005526,2021-04-14
15,2.2313,2.2313,-0.02%,开放申购,开放赎回,005526,2021-04-13
16,2.2318,2.2318,-1.55%,开放申购,开放赎回,005526,2021-04-12
17,2.2670,2.2670,-1.38%,开放申购,开放赎回,005526,2021-04-09
18,2.2987,2.2987,1.05%,开放申购,开放赎回,005526,2021-04-08
19,2.2749,2.2749,-2.12%,开放申购,开放赎回,005526,2021-04-07
20,2.3241,2.3241,-0.90%,开放申购,开放赎回,005526,2021-04-06
21,2.3453,2.3453,2.38%,开放申购,开放赎回,005526,2021-04-02
23,2.2908,2.2908,1.30%,开放申购,开放赎回,005526,2021-04-01
24,2.2613,2.2613,-0.76%,开放申购,开放赎回,005526,2021-03-31
25,2.2786,2.2786,0.56%,开放申购,开放赎回,005526,2021-03-30
26,2.2658,2.2658,1.13%,开放申购,开放赎回,005526,2021-03-29
27,2.2404,2.2404,2.79%,开放申购,开放赎回,005526,2021-03-26
28,2.1796,2.1796,-0.24%,开放申购,开放赎回,005526,2021-03-25
29,2.1848,2.1848,-0.57%,开放申购,开放赎回,005526,2021-03-24
30,2.1974,2.1974,-0.87%,开放申购,开放赎回,005526,2021-03-23
31,2.2167,2.2167,0.53%,开放申购,开放赎回,005526,2021-03-22
32,2.2051,2.2051,-1.84%,开放申购,开放赎回,005526,2021-03-19
34,2.2465,2.2465,1.20%,开放申购,开放赎回,005526,2021-03-18
35,2.2199,2.2199,1.46%,开放申购,开放赎回,005526,2021-03-17
36,2.1879,2.1879,1.25%,开放申购,开放赎回,005526,2021-03-16
37,2.1608,2.1608,-2.07%,开放申购,开放赎回,005526,2021-03-15
38,2.2064,2.2064,0.13%,开放申购,开放赎回,005526,2021-03-12
39,2.2036,2.2036,2.80%,开放申购,开放赎回,005526,2021-03-11
40,2.1436,2.1436,1.02%,开放申购,开放赎回,005526,2021-03-10
41,2.1219,2.1219,-2.02%,开放申购,开放赎回,005526,2021-03-09
42,2.1657,2.1657,-3.26%,开放申购,开放赎回,005526,2021-03-08
43,2.2387,2.2387,0.22%,开放申购,开放赎回,005526,2021-03-05
45,2.2338,2.2338,-3.41%,开放申购,开放赎回,005526,2021-03-04
46,2.3126,2.3126,1.54%,开放申购,开放赎回,005526,2021-03-03
47,2.2776,2.2776,-1.29%,开放申购,开放赎回,005526,2021-03-02
48,2.3074,2.3074,2.03%,开放申购,开放赎回,005526,2021-03-01
49,2.2615,2.2615,-1.83%,开放申购,开放赎回,005526,2021-02-26
50,2.3036,2.3036,-0.50%,开放申购,开放赎回,005526,2021-02-25
51,2.3152,2.3152,-2.28%,开放申购,开放赎回,005526,2021-02-24
52,2.3691,2.3691,-0.24%,开放申购,开放赎回,005526,2021-02-23
53,2.3749,2.3749,-5.10%,开放申购,开放赎回,005526,2021-02-22
54,2.5026,2.5026,0.68%,开放申购,开放赎回,005526,2021-02-19
56,2.4857,2.4857,-2.06%,开放申购,开放赎回,005526,2021-02-18
57,2.5379,2.5379,2.97%,开放申购,开放赎回,005526,2021-02-10
58,2.4648,2.4648,2.41%,开放申购,开放赎回,005526,2021-02-09
59,2.4068,2.4068,1.35%,开放申购,开放赎回,005526,2021-02-08
60,2.3748,2.3748,0.87%,开放申购,开放赎回,005526,2021-02-05
61,2.3543,2.3543,0.09%,开放申购,开放赎回,005526,2021-02-04
62,2.3523,2.3523,-0.24%,开放申购,开放赎回,005526,2021-02-03
63,2.3580,2.3580,2.29%,开放申购,开放赎回,005526,2021-02-02
64,2.3053,2.3053,1.84%,开放申购,开放赎回,005526,2021-02-01
65,2.2636,2.2636,0.47%,开放申购,开放赎回,005526,2021-01-29
67,2.2530,2.2530,-2.09%,开放申购,开放赎回,005526,2021-01-28
68,2.3010,2.3010,-0.36%,开放申购,开放赎回,005526,2021-01-27
69,2.3094,2.3094,-2.23%,开放申购,开放赎回,005526,2021-01-26
70,2.3620,2.3620,1.87%,开放申购,开放赎回,005526,2021-01-25
71,2.3187,2.3187,-0.11%,开放申购,开放赎回,005526,2021-01-22
72,2.3213,2.3213,1.43%,开放申购,开放赎回,005526,2021-01-21
73,2.2886,2.2886,1.00%,开放申购,开放赎回,005526,2021-01-20
74,2.2660,2.2660,-1.62%,开放申购,开放赎回,005526,2021-01-19
75,2.3032,2.3032,-0.10%,开放申购,开放赎回,005526,2021-01-18
76,2.3056,2.3056,0.08%,开放申购,开放赎回,005526,2021-01-15
78,2.3037,2.3037,-2.49%,开放申购,开放赎回,005526,2021-01-14
79,2.3626,2.3626,-0.43%,开放申购,开放赎回,005526,2021-01-13
80,2.3728,2.3728,2.12%,开放申购,开放赎回,005526,2021-01-12
81,2.3236,2.3236,-1.13%,开放申购,开放赎回,005526,2021-01-11
82,2.3502,2.3502,-0.85%,开放申购,开放赎回,005526,2021-01-08
83,2.3703,2.3703,0.53%,开放申购,开放赎回,005526,2021-01-07
84,2.3579,2.3579,-0.31%,开放申购,开放赎回,005526,2021-01-06
85,2.3652,2.3652,2.35%,开放申购,开放赎回,005526,2021-01-05
86,2.3109,2.3109,1.57%,开放申购,开放赎回,005526,2021-01-04
