,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,0.9502,0.9502,-1.15%,开放申购,开放赎回,008326,2021-04-30
2,0.9613,0.9613,0.29%,开放申购,开放赎回,008326,2021-04-29
3,0.9585,0.9585,0.39%,开放申购,开放赎回,008326,2021-04-28
4,0.9548,0.9548,-1.61%,开放申购,开放赎回,008326,2021-04-27
5,0.9704,0.9704,-0.93%,开放申购,开放赎回,008326,2021-04-26
6,0.9795,0.9795,-0.83%,开放申购,开放赎回,008326,2021-04-23
7,0.9877,0.9877,1.10%,开放申购,开放赎回,008326,2021-04-22
8,0.9770,0.9770,-0.97%,开放申购,开放赎回,008326,2021-04-21
9,0.9866,0.9866,-1.41%,开放申购,开放赎回,008326,2021-04-20
10,1.0007,1.0007,1.69%,开放申购,开放赎回,008326,2021-04-19
12,0.9841,0.9841,0.72%,开放申购,开放赎回,008326,2021-04-16
13,0.9771,0.9771,-0.08%,开放申购,开放赎回,008326,2021-04-15
14,0.9779,0.9779,0.80%,开放申购,开放赎回,008326,2021-04-14
15,0.9701,0.9701,-0.31%,开放申购,开放赎回,008326,2021-04-13
16,0.9731,0.9731,-0.99%,开放申购,开放赎回,008326,2021-04-12
17,0.9828,0.9828,-0.24%,开放申购,开放赎回,008326,2021-04-09
18,0.9852,0.9852,-0.37%,开放申购,开放赎回,008326,2021-04-08
19,0.9889,0.9889,-0.51%,开放申购,开放赎回,008326,2021-04-07
20,0.9940,0.9940,0.50%,开放申购,开放赎回,008326,2021-04-06
21,0.9891,0.9891,2.16%,开放申购,开放赎回,008326,2021-04-02
23,0.9682,0.9682,1.05%,开放申购,开放赎回,008326,2021-04-01
24,0.9581,0.9581,0.16%,开放申购,开放赎回,008326,2021-03-31
25,0.9566,0.9566,-0.41%,开放申购,开放赎回,008326,2021-03-30
26,0.9605,0.9605,0.03%,开放申购,开放赎回,008326,2021-03-29
