,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,2.1750,2.1750,0.28%,开放申购,开放赎回,000969,2021-04-30
2,2.1690,2.1690,1.26%,开放申购,开放赎回,000969,2021-04-29
3,2.1420,2.1420,0.42%,开放申购,开放赎回,000969,2021-04-28
4,2.1330,2.1330,0.99%,开放申购,开放赎回,000969,2021-04-27
5,2.1120,2.1120,-0.42%,开放申购,开放赎回,000969,2021-04-26
6,2.1210,2.1210,0.71%,开放申购,开放赎回,000969,2021-04-23
7,2.1060,2.1060,1.20%,开放申购,开放赎回,000969,2021-04-22
8,2.0810,2.0810,1.27%,开放申购,开放赎回,000969,2021-04-21
9,2.0550,2.0550,0.24%,开放申购,开放赎回,000969,2021-04-20
10,2.0500,2.0500,3.59%,开放申购,开放赎回,000969,2021-04-19
12,1.9790,1.9790,-0.20%,开放申购,开放赎回,000969,2021-04-16
13,1.9830,1.9830,-0.40%,开放申购,开放赎回,000969,2021-04-15
14,1.9910,1.9910,1.07%,开放申购,开放赎回,000969,2021-04-14
15,1.9700,1.9700,1.81%,开放申购,开放赎回,000969,2021-04-13
16,1.9350,1.9350,-2.03%,开放申购,开放赎回,000969,2021-04-12
17,1.9750,1.9750,-1.10%,开放申购,开放赎回,000969,2021-04-09
18,1.9970,1.9970,0.30%,开放申购,开放赎回,000969,2021-04-08
19,1.9910,1.9910,-0.30%,开放申购,开放赎回,000969,2021-04-07
20,1.9970,1.9970,-0.35%,开放申购,开放赎回,000969,2021-04-06
21,2.0040,2.0040,0.91%,开放申购,开放赎回,000969,2021-04-02
23,1.9860,1.9860,1.79%,开放申购,开放赎回,000969,2021-04-01
24,1.9510,1.9510,-1.01%,开放申购,开放赎回,000969,2021-03-31
25,1.9710,1.9710,1.39%,开放申购,开放赎回,000969,2021-03-30
26,1.9440,1.9440,0.73%,开放申购,开放赎回,000969,2021-03-29
27,1.9300,1.9300,2.99%,开放申购,开放赎回,000969,2021-03-26
28,1.8740,1.8740,1.02%,开放申购,开放赎回,000969,2021-03-25
29,1.8550,1.8550,-1.28%,开放申购,开放赎回,000969,2021-03-24
30,1.8790,1.8790,-1.67%,开放申购,开放赎回,000969,2021-03-23
31,1.9110,1.9110,0.74%,开放申购,开放赎回,000969,2021-03-22
32,1.8970,1.8970,-2.42%,开放申购,开放赎回,000969,2021-03-19
34,1.9440,1.9440,1.51%,开放申购,开放赎回,000969,2021-03-18
35,1.9150,1.9150,0.84%,开放申购,开放赎回,000969,2021-03-17
36,1.8990,1.8990,1.01%,开放申购,开放赎回,000969,2021-03-16
37,1.8800,1.8800,-2.64%,开放申购,开放赎回,000969,2021-03-15
38,1.9310,1.9310,0.31%,开放申购,开放赎回,000969,2021-03-12
39,1.9250,1.9250,1.74%,开放申购,开放赎回,000969,2021-03-11
