,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.0119,1.0119,-0.59%,开放申购,开放赎回,010148,2021-04-30
2,1.0179,1.0179,-1.18%,开放申购,开放赎回,010148,2021-04-29
3,1.0301,1.0301,1.01%,开放申购,开放赎回,010148,2021-04-28
4,1.0198,1.0198,,封闭期,封闭期,010148,2021-04-27
5,1.0192,1.0192,,封闭期,封闭期,010148,2021-04-23
6,0.9837,0.9837,,封闭期,封闭期,010148,2021-04-16
7,0.9786,0.9786,,封闭期,封闭期,010148,2021-04-09
8,0.9779,0.9779,,封闭期,封闭期,010148,2021-04-02
9,0.9450,0.9450,,封闭期,封闭期,010148,2021-03-26
10,0.9302,0.9302,,封闭期,封闭期,010148,2021-03-19
12,0.9370,0.9370,,封闭期,封闭期,010148,2021-03-12
13,0.9736,0.9736,,封闭期,封闭期,010148,2021-03-05
14,0.9780,0.9780,,封闭期,封闭期,010148,2021-02-26
15,1.0104,1.0104,,封闭期,封闭期,010148,2021-02-19
16,1.0143,1.0143,,封闭期,封闭期,010148,2021-02-10
17,0.9981,0.9981,,封闭期,封闭期,010148,2021-02-05
18,1.0000,1.0000,,封闭期,封闭期,010148,2021-02-02
