,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.3960,1.3960,0.07%,开放申购,开放赎回,162214,2021-04-30
2,1.3950,1.3950,-0.14%,开放申购,开放赎回,162214,2021-04-29
3,1.3970,1.3970,0.29%,开放申购,开放赎回,162214,2021-04-28
4,1.3930,1.3930,0.58%,开放申购,开放赎回,162214,2021-04-27
5,1.3850,1.3850,-0.22%,开放申购,开放赎回,162214,2021-04-26
6,1.3880,1.3880,0.51%,开放申购,开放赎回,162214,2021-04-23
7,1.3810,1.3810,0.58%,开放申购,开放赎回,162214,2021-04-22
8,1.3730,1.3730,0.37%,开放申购,开放赎回,162214,2021-04-21
9,1.3680,1.3680,0.37%,开放申购,开放赎回,162214,2021-04-20
10,1.3630,1.3630,1.56%,开放申购,开放赎回,162214,2021-04-19
12,1.3420,1.3420,0.30%,开放申购,开放赎回,162214,2021-04-16
13,1.3380,1.3380,-1.11%,开放申购,开放赎回,162214,2021-04-15
14,1.3530,1.3530,1.05%,开放申购,开放赎回,162214,2021-04-14
15,1.3390,1.3390,-0.37%,开放申购,开放赎回,162214,2021-04-13
16,1.3440,1.3440,-1.68%,开放申购,开放赎回,162214,2021-04-12
17,1.3670,1.3670,-1.01%,开放申购,开放赎回,162214,2021-04-09
18,1.3810,1.3810,-0.22%,开放申购,开放赎回,162214,2021-04-08
19,1.3840,1.3840,0.07%,开放申购,开放赎回,162214,2021-04-07
20,1.3830,1.3830,-0.07%,开放申购,开放赎回,162214,2021-04-06
21,1.3840,1.3840,-0.22%,开放申购,开放赎回,162214,2021-04-02
23,1.3870,1.3870,1.17%,开放申购,开放赎回,162214,2021-04-01
24,1.3710,1.3710,-1.08%,开放申购,开放赎回,162214,2021-03-31
25,1.3860,1.3860,1.32%,开放申购,开放赎回,162214,2021-03-30
26,1.3680,1.3680,0.29%,开放申购,开放赎回,162214,2021-03-29
27,1.3640,1.3640,2.02%,开放申购,开放赎回,162214,2021-03-26
28,1.3370,1.3370,-0.15%,开放申购,开放赎回,162214,2021-03-25
29,1.3390,1.3390,-3.18%,开放申购,开放赎回,162214,2021-03-24
