,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.1860,1.2610,-0.17%,开放申购,开放赎回,000466,2021-04-30
2,1.1880,1.2630,0.25%,开放申购,开放赎回,000466,2021-04-29
3,1.1850,1.2600,0.25%,开放申购,开放赎回,000466,2021-04-28
4,1.1820,1.2570,0.08%,开放申购,开放赎回,000466,2021-04-27
5,1.1810,1.2560,-0.25%,开放申购,开放赎回,000466,2021-04-26
6,1.1840,1.2590,0.17%,开放申购,开放赎回,000466,2021-04-23
7,1.1820,1.2570,0.17%,开放申购,开放赎回,000466,2021-04-22
8,1.1800,1.2550,-0.08%,开放申购,开放赎回,000466,2021-04-21
9,1.1810,1.2560,0.08%,开放申购,开放赎回,000466,2021-04-20
10,1.1800,1.2550,0.77%,开放申购,开放赎回,000466,2021-04-19
12,1.1710,1.2460,0.17%,开放申购,开放赎回,000466,2021-04-16
13,1.1690,1.2440,0.00%,开放申购,开放赎回,000466,2021-04-15
14,1.1690,1.2440,0.17%,开放申购,开放赎回,000466,2021-04-14
15,1.1670,1.2420,0.00%,开放申购,开放赎回,000466,2021-04-13
16,1.1670,1.2420,-0.51%,开放申购,开放赎回,000466,2021-04-12
17,1.1730,1.2480,-0.34%,开放申购,开放赎回,000466,2021-04-09
18,1.1770,1.2520,0.26%,开放申购,开放赎回,000466,2021-04-08
19,1.1740,1.2490,-0.25%,开放申购,开放赎回,000466,2021-04-07
20,1.1770,1.2520,-0.25%,开放申购,开放赎回,000466,2021-04-06
21,1.1800,1.2550,0.17%,开放申购,开放赎回,000466,2021-04-02
23,1.1780,1.2530,0.43%,开放申购,开放赎回,000466,2021-04-01
24,1.1730,1.2480,-0.34%,开放申购,开放赎回,000466,2021-03-31
25,1.1770,1.2520,0.26%,开放申购,开放赎回,000466,2021-03-30
26,1.1740,1.2490,0.17%,开放申购,开放赎回,000466,2021-03-29
27,1.1720,1.2470,0.69%,开放申购,开放赎回,000466,2021-03-26
28,1.1640,1.2390,0.17%,开放申购,开放赎回,000466,2021-03-25
29,1.1620,1.2370,-1.02%,开放申购,开放赎回,000466,2021-03-24
30,1.1740,1.2490,-0.42%,开放申购,开放赎回,000466,2021-03-23
31,1.1790,1.2540,0.34%,开放申购,开放赎回,000466,2021-03-22
32,1.1750,1.2500,-0.59%,开放申购,开放赎回,000466,2021-03-19
34,1.1820,1.2570,0.60%,开放申购,开放赎回,000466,2021-03-18
35,1.1750,1.2500,0.43%,开放申购,开放赎回,000466,2021-03-17
36,1.1700,1.2450,0.00%,开放申购,开放赎回,000466,2021-03-16
37,1.1700,1.2450,-0.68%,开放申购,开放赎回,000466,2021-03-15
38,1.1780,1.2530,0.08%,开放申购,开放赎回,000466,2021-03-12
39,1.1770,1.2520,0.68%,开放申购,开放赎回,000466,2021-03-11
40,1.1690,1.2440,0.34%,开放申购,开放赎回,000466,2021-03-10
41,1.1650,1.2400,-0.51%,开放申购,开放赎回,000466,2021-03-09
42,1.1710,1.2460,-0.85%,开放申购,开放赎回,000466,2021-03-08
43,1.1810,1.2560,-0.51%,开放申购,开放赎回,000466,2021-03-05
45,1.1870,1.2620,-1.00%,开放申购,开放赎回,000466,2021-03-04
46,1.1990,1.2740,0.76%,开放申购,开放赎回,000466,2021-03-03
47,1.1900,1.2650,-0.08%,开放申购,开放赎回,000466,2021-03-02
48,1.1910,1.2660,0.85%,开放申购,开放赎回,000466,2021-03-01
49,1.1810,1.2560,-0.92%,开放申购,开放赎回,000466,2021-02-26
50,1.1920,1.2670,0.00%,开放申购,开放赎回,000466,2021-02-25
