,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.5089,1.7516,-0.07%,限制大额申购,开放赎回,210011,2021-04-30
2,1.5100,1.7527,0.09%,限制大额申购,开放赎回,210011,2021-04-29
3,1.5086,1.7513,0.18%,限制大额申购,开放赎回,210011,2021-04-28
4,1.5059,1.7486,0.19%,限制大额申购,开放赎回,210011,2021-04-27
5,1.5031,1.7458,-0.22%,限制大额申购,开放赎回,210011,2021-04-26
6,1.5064,1.7491,0.31%,限制大额申购,开放赎回,210011,2021-04-23
7,1.5017,1.7444,-0.01%,限制大额申购,开放赎回,210011,2021-04-22
8,1.5019,1.7446,0.21%,限制大额申购,开放赎回,210011,2021-04-21
9,1.4987,1.7414,0.13%,限制大额申购,开放赎回,210011,2021-04-20
10,1.4968,1.7395,0.67%,限制大额申购,开放赎回,210011,2021-04-19
12,1.4869,1.7296,0.01%,限制大额申购,开放赎回,210011,2021-04-16
13,1.4867,1.7294,-0.04%,限制大额申购,开放赎回,210011,2021-04-15
14,1.4873,1.7300,0.27%,限制大额申购,开放赎回,210011,2021-04-14
15,1.4833,1.7260,-0.02%,限制大额申购,开放赎回,210011,2021-04-13
16,1.4836,1.7263,-0.53%,限制大额申购,开放赎回,210011,2021-04-12
17,1.4915,1.7342,-0.33%,限制大额申购,开放赎回,210011,2021-04-09
18,1.4965,1.7392,0.06%,限制大额申购,开放赎回,210011,2021-04-08
19,1.4956,1.7383,-0.09%,限制大额申购,开放赎回,210011,2021-04-07
20,1.4970,1.7397,-0.13%,限制大额申购,开放赎回,210011,2021-04-06
21,1.4989,1.7416,0.23%,限制大额申购,开放赎回,210011,2021-04-02
23,1.4955,1.7382,0.48%,限制大额申购,开放赎回,210011,2021-04-01
24,1.4883,1.7310,-0.27%,限制大额申购,开放赎回,210011,2021-03-31
25,1.4924,1.7351,0.36%,限制大额申购,开放赎回,210011,2021-03-30
26,1.4871,1.7298,0.10%,限制大额申购,开放赎回,210011,2021-03-29
27,1.4856,1.7283,0.64%,限制大额申购,开放赎回,210011,2021-03-26
28,1.4761,1.7188,0.07%,限制大额申购,开放赎回,210011,2021-03-25
29,1.4751,1.7178,-0.64%,限制大额申购,开放赎回,210011,2021-03-24
30,1.4846,1.7273,-0.44%,限制大额申购,开放赎回,210011,2021-03-23
31,1.4912,1.7339,0.28%,限制大额申购,开放赎回,210011,2021-03-22
