,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,0.9313,0.9313,1.10%,开放申购,开放赎回,005477,2021-04-30
2,0.9212,0.9212,-0.29%,开放申购,开放赎回,005477,2021-04-29
3,0.9239,0.9239,1.99%,开放申购,开放赎回,005477,2021-04-28
4,0.9059,0.9059,1.01%,开放申购,开放赎回,005477,2021-04-27
5,0.8968,0.8968,-1.12%,开放申购,开放赎回,005477,2021-04-26
6,0.9070,0.9070,1.33%,开放申购,开放赎回,005477,2021-04-23
7,0.8951,0.8951,-0.04%,开放申购,开放赎回,005477,2021-04-22
8,0.8955,0.8955,0.20%,开放申购,开放赎回,005477,2021-04-21
9,0.8937,0.8937,0.40%,开放申购,开放赎回,005477,2021-04-20
10,0.8901,0.8901,3.66%,开放申购,开放赎回,005477,2021-04-19
12,0.8587,0.8587,-0.15%,开放申购,开放赎回,005477,2021-04-16
13,0.8600,0.8600,-0.10%,开放申购,开放赎回,005477,2021-04-15
14,0.8609,0.8609,1.45%,开放申购,开放赎回,005477,2021-04-14
15,0.8486,0.8486,-0.16%,开放申购,开放赎回,005477,2021-04-13
16,0.8500,0.8500,-1.90%,开放申购,开放赎回,005477,2021-04-12
17,0.8665,0.8665,-1.65%,开放申购,开放赎回,005477,2021-04-09
18,0.8810,0.8810,-0.03%,开放申购,开放赎回,005477,2021-04-08
19,0.8813,0.8813,-1.45%,开放申购,开放赎回,005477,2021-04-07
20,0.8943,0.8943,-0.20%,开放申购,开放赎回,005477,2021-04-06
21,0.8961,0.8961,0.98%,开放申购,开放赎回,005477,2021-04-02
23,0.8874,0.8874,1.44%,开放申购,开放赎回,005477,2021-04-01
24,0.8748,0.8748,-1.04%,开放申购,开放赎回,005477,2021-03-31
25,0.8840,0.8840,1.42%,开放申购,开放赎回,005477,2021-03-30
26,0.8716,0.8716,0.53%,开放申购,开放赎回,005477,2021-03-29
27,0.8670,0.8670,2.64%,开放申购,开放赎回,005477,2021-03-26
28,0.8447,0.8447,0.84%,开放申购,开放赎回,005477,2021-03-25
29,0.8377,0.8377,-1.85%,开放申购,开放赎回,005477,2021-03-24
