,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,4.3590,1.8360,-0.55%,场内买入,场内卖出,510120,2021-04-30
2,4.3830,1.8460,0.21%,场内买入,场内卖出,510120,2021-04-29
3,4.3740,1.8430,0.46%,场内买入,场内卖出,510120,2021-04-28
4,4.3540,1.8340,0.35%,场内买入,场内卖出,510120,2021-04-27
5,4.3390,1.8280,-1.34%,场内买入,场内卖出,510120,2021-04-26
6,4.3980,1.8530,1.34%,场内买入,场内卖出,510120,2021-04-23
7,4.3400,1.8280,-0.44%,场内买入,场内卖出,510120,2021-04-22
8,4.3590,1.8360,0.11%,场内买入,场内卖出,510120,2021-04-21
9,4.3540,1.8340,-0.05%,场内买入,场内卖出,510120,2021-04-20
10,4.3560,1.8350,2.11%,场内买入,场内卖出,510120,2021-04-19
12,4.2660,1.7970,0.54%,场内买入,场内卖出,510120,2021-04-16
13,4.2430,1.7870,-0.89%,场内买入,场内卖出,510120,2021-04-15
14,4.2810,1.8030,0.90%,场内买入,场内卖出,510120,2021-04-14
15,4.2430,1.7870,-0.40%,场内买入,场内卖出,510120,2021-04-13
16,4.2600,1.7950,-1.59%,场内买入,场内卖出,510120,2021-04-12
17,4.3290,1.8240,-1.79%,场内买入,场内卖出,510120,2021-04-09
18,4.4080,1.8570,0.62%,场内买入,场内卖出,510120,2021-04-08
19,4.3810,1.8460,-0.84%,场内买入,场内卖出,510120,2021-04-07
20,4.4180,1.8610,-0.96%,场内买入,场内卖出,510120,2021-04-06
21,4.4610,1.8790,2.01%,场内买入,场内卖出,510120,2021-04-02
23,4.3730,1.8420,1.79%,场内买入,场内卖出,510120,2021-04-01
24,4.2960,1.8100,-1.24%,场内买入,场内卖出,510120,2021-03-31
25,4.3500,1.8330,1.09%,场内买入,场内卖出,510120,2021-03-30
26,4.3030,1.8130,0.56%,场内买入,场内卖出,510120,2021-03-29
27,4.2790,1.8030,2.30%,场内买入,场内卖出,510120,2021-03-26
28,4.1830,1.7620,0.55%,场内买入,场内卖出,510120,2021-03-25
29,4.1600,1.7520,-1.47%,场内买入,场内卖出,510120,2021-03-24
30,4.2220,1.7790,-0.94%,场内买入,场内卖出,510120,2021-03-23
31,4.2620,1.7950,0.52%,场内买入,场内卖出,510120,2021-03-22
32,4.2400,1.7860,-2.17%,场内买入,场内卖出,510120,2021-03-19
34,4.3340,1.8260,1.05%,场内买入,场内卖出,510120,2021-03-18
35,4.2890,1.8070,0.92%,场内买入,场内卖出,510120,2021-03-17
36,4.2500,1.7900,0.88%,场内买入,场内卖出,510120,2021-03-16
37,4.2130,1.7750,-2.84%,场内买入,场内卖出,510120,2021-03-15
38,4.3360,1.8270,0.39%,场内买入,场内卖出,510120,2021-03-12
39,4.3190,1.8190,2.20%,场内买入,场内卖出,510120,2021-03-11
40,4.2260,1.7800,1.20%,场内买入,场内卖出,510120,2021-03-10
41,4.1760,1.7590,-2.04%,场内买入,场内卖出,510120,2021-03-09
42,4.2630,1.7960,-4.07%,场内买入,场内卖出,510120,2021-03-08
43,4.4440,1.8720,0.02%,场内买入,场内卖出,510120,2021-03-05
45,4.4430,1.8720,-3.62%,场内买入,场内卖出,510120,2021-03-04
46,4.6100,1.9420,1.34%,场内买入,场内卖出,510120,2021-03-03
47,4.5490,1.9160,-1.90%,场内买入,场内卖出,510120,2021-03-02
48,4.6370,1.9530,1.84%,场内买入,场内卖出,510120,2021-03-01
49,4.5530,1.9180,-2.04%,场内买入,场内卖出,510120,2021-02-26
50,4.6480,1.9580,-0.28%,场内买入,场内卖出,510120,2021-02-25
51,4.6610,1.9640,-2.75%,场内买入,场内卖出,510120,2021-02-24
52,4.7930,2.0190,-0.70%,场内买入,场内卖出,510120,2021-02-23
53,4.8270,2.0330,-4.11%,场内买入,场内卖出,510120,2021-02-22
54,5.0340,2.1210,-0.30%,场内买入,场内卖出,510120,2021-02-19
56,5.0490,2.1270,-1.73%,场内买入,场内卖出,510120,2021-02-18
57,5.1380,2.1640,2.70%,场内买入,场内卖出,510120,2021-02-10
58,5.0030,2.1080,2.75%,场内买入,场内卖出,510120,2021-02-09
59,4.8690,2.0510,2.25%,场内买入,场内卖出,510120,2021-02-08
60,4.7620,2.0060,-0.21%,场内买入,场内卖出,510120,2021-02-05
61,4.7720,2.0100,0.15%,场内买入,场内卖出,510120,2021-02-04
62,4.7650,2.0070,-0.19%,场内买入,场内卖出,510120,2021-02-03
63,4.7740,2.0110,2.25%,场内买入,场内卖出,510120,2021-02-02
64,4.6690,1.9670,0.76%,场内买入,场内卖出,510120,2021-02-01
65,4.6340,1.9520,-0.28%,场内买入,场内卖出,510120,2021-01-29
67,4.6470,1.9580,-2.37%,场内买入,场内卖出,510120,2021-01-28
68,4.7600,2.0050,-0.36%,场内买入,场内卖出,510120,2021-01-27
69,4.7770,2.0120,-2.31%,场内买入,场内卖出,510120,2021-01-26
70,4.8900,2.0600,1.75%,场内买入,场内卖出,510120,2021-01-25
71,4.8060,2.0250,0.78%,场内买入,场内卖出,510120,2021-01-22
72,4.7690,2.0090,1.53%,场内买入,场内卖出,510120,2021-01-21
73,4.6970,1.9790,1.08%,场内买入,场内卖出,510120,2021-01-20
74,4.6470,1.9580,-2.00%,场内买入,场内卖出,510120,2021-01-19
75,4.7420,1.9980,0.79%,场内买入,场内卖出,510120,2021-01-18
76,4.7050,1.9820,-1.55%,场内买入,场内卖出,510120,2021-01-15
78,4.7790,2.0130,-1.71%,场内买入,场内卖出,510120,2021-01-14
79,4.8620,2.0480,-0.35%,场内买入,场内卖出,510120,2021-01-13
80,4.8790,2.0550,2.95%,场内买入,场内卖出,510120,2021-01-12
81,4.7390,1.9960,-0.38%,场内买入,场内卖出,510120,2021-01-11
82,4.7570,2.0040,-0.88%,场内买入,场内卖出,510120,2021-01-08
83,4.7990,2.0220,2.04%,场内买入,场内卖出,510120,2021-01-07
84,4.7030,1.9810,0.79%,场内买入,场内卖出,510120,2021-01-06
85,4.6660,1.9660,2.68%,场内买入,场内卖出,510120,2021-01-05
86,4.5440,1.9140,1.11%,场内买入,场内卖出,510120,2021-01-04
